,Adgrl1
532,7.0
533,4.0
534,8.0
535,2.0
536,7.0
537,7.0
538,1.0
539,6.0
540,1.0
541,2.0
542,3.0
543,1.0
544,14.0
545,7.0
546,8.0
547,0.0
548,1.0
549,1.0
550,8.0
551,6.0
552,6.0
553,8.0
554,5.0
555,8.0
556,5.0
557,2.0
558,3.0
559,1.0
560,0.0
561,7.0
562,6.0
563,6.0
564,8.0
565,4.0
566,5.0
567,3.0
568,1.0
569,4.0
570,0.0
571,8.0
572,1.0
573,1.0
574,6.0
575,5.0
576,7.0
577,4.0
578,7.0
579,0.0
580,0.0
581,3.0
582,2.0
583,9.0
584,2.0
585,1.0
586,1.0
587,5.0
588,0.0
589,2.0
590,3.0
591,12.0
592,4.0
593,4.0
594,5.0
595,4.0
596,5.0
597,1.0
598,3.0
599,6.0
600,1.0
601,3.0
602,10.0
603,9.0
604,1.0
605,8.0
606,2.0
607,2.0
608,2.0
609,1.0
610,1.0
611,3.0
612,3.0
613,2.0
614,4.0
615,3.0
616,0.0
617,1.0
618,9.0
619,14.0
620,0.0
621,4.0
622,15.0
623,0.0
624,9.0
625,4.0
626,2.0
627,2.0
628,4.0
629,2.0
630,1.0
631,0.0
632,11.0
633,0.0
634,1.0
635,3.0
636,2.0
637,6.0
638,2.0
639,6.0
640,2.0
641,15.0
642,0.0
643,4.0
644,13.0
645,5.0
646,2.0
647,3.0
648,0.0
649,1.0
650,5.0
651,2.0
652,0.0
653,10.0
654,2.0
655,2.0
656,3.0
657,10.0
658,1.0
659,1.0
660,7.0
661,3.0
662,9.0
663,9.0
664,19.0
665,3.0
666,9.0
667,0.0
668,3.0
669,6.0
670,1.0
671,2.0
672,5.0
673,5.0
674,1.0
675,0.0
676,8.0
677,0.0
678,7.0
679,2.0
680,4.0
681,10.0
682,6.0
683,2.0
684,2.0
685,5.0
686,0.0
687,0.0
688,8.0
689,5.0
690,4.0
691,0.0
692,2.0
693,6.0
694,3.0
695,9.0
696,2.0
697,5.0
698,0.0
699,1.0
700,6.0
701,1.0
702,0.0
703,0.0
704,13.0
705,4.0
706,3.0
707,0.0
708,10.0
709,8.0
710,1.0
711,1.0
712,4.0
713,2.0
714,1.0
715,2.0
716,7.0
717,9.0
718,7.0
719,2.0
720,10.0
721,0.0
722,1.0
723,9.0
724,0.0
725,8.0
726,10.0
727,3.0
728,6.0
729,3.0
730,1.0
731,2.0
732,0.0
733,1.0
734,8.0
735,10.0
736,9.0
737,4.0
738,4.0
739,7.0
740,1.0
741,8.0
742,3.0
743,5.0
744,1.0
745,0.0
746,0.0
747,0.0
748,6.0
749,7.0
750,0.0
751,15.0
752,2.0
753,4.0
754,1.0
755,0.0
756,0.0
757,1.0
758,0.0
759,9.0
760,3.0
761,0.0
762,9.0
763,2.0
764,3.0
765,0.0
766,1.0
767,2.0
768,2.0
769,1.0
770,2.0
771,6.0
772,1.0
773,0.0
774,2.0
775,0.0
776,1.0
777,0.0
778,2.0
779,3.0
780,14.0
781,2.0
782,3.0
783,11.0
784,2.0
785,1.0
786,1.0
787,2.0
788,1.0
789,2.0
790,23.0
791,10.0
792,6.0
793,3.0
794,0.0
795,0.0
