,Epha4
532,31.0
533,33.0
534,21.0
535,0.0
536,14.0
537,15.0
538,11.0
539,0.0
540,7.0
541,0.0
542,19.0
543,0.0
544,28.0
545,29.0
546,34.0
547,0.0
548,2.0
549,1.0
550,28.0
551,21.0
552,35.0
553,20.0
554,31.0
555,18.0
556,16.0
557,8.0
558,1.0
559,1.0
560,3.0
561,23.0
562,28.0
563,17.0
564,18.0
565,19.0
566,0.0
567,11.0
568,2.0
569,8.0
570,1.0
571,7.0
572,4.0
573,0.0
574,28.0
575,11.0
576,9.0
577,28.0
578,56.0
579,1.0
580,0.0
581,0.0
582,9.0
583,24.0
584,8.0
585,8.0
586,11.0
587,17.0
588,0.0
589,6.0
590,7.0
591,24.0
592,19.0
593,24.0
594,21.0
595,12.0
596,0.0
597,4.0
598,8.0
599,31.0
600,13.0
601,19.0
602,44.0
603,23.0
604,21.0
605,23.0
606,3.0
607,2.0
608,3.0
609,1.0
610,1.0
611,15.0
612,16.0
613,4.0
614,12.0
615,4.0
616,0.0
617,7.0
618,1.0
619,28.0
620,10.0
621,6.0
622,53.0
623,0.0
624,18.0
625,5.0
626,0.0
627,0.0
628,22.0
629,1.0
630,0.0
631,13.0
632,30.0
633,0.0
634,3.0
635,18.0
636,1.0
637,21.0
638,0.0
639,14.0
640,10.0
641,4.0
642,0.0
643,2.0
644,30.0
645,13.0
646,1.0
647,1.0
648,1.0
649,0.0
650,42.0
651,4.0
652,7.0
653,36.0
654,0.0
655,5.0
656,17.0
657,23.0
658,13.0
659,0.0
660,18.0
661,7.0
662,19.0
663,23.0
664,55.0
665,3.0
666,19.0
667,0.0
668,10.0
669,19.0
670,6.0
671,0.0
672,23.0
673,8.0
674,3.0
675,2.0
676,23.0
677,1.0
678,20.0
679,14.0
680,20.0
681,23.0
682,36.0
683,9.0
684,18.0
685,9.0
686,1.0
687,2.0
688,31.0
689,1.0
690,7.0
691,3.0
692,0.0
693,19.0
694,0.0
695,16.0
696,13.0
697,8.0
698,9.0
699,1.0
700,10.0
701,7.0
702,0.0
703,2.0
704,24.0
705,19.0
706,21.0
707,1.0
708,43.0
709,14.0
710,1.0
711,9.0
712,16.0
713,1.0
714,0.0
715,7.0
716,28.0
717,32.0
718,29.0
719,12.0
720,15.0
721,0.0
722,0.0
723,34.0
724,3.0
725,9.0
726,24.0
727,7.0
728,3.0
729,0.0
730,0.0
731,2.0
732,0.0
733,4.0
734,2.0
735,10.0
736,22.0
737,0.0
738,0.0
739,22.0
740,1.0
741,19.0
742,17.0
743,28.0
744,5.0
745,0.0
746,0.0
747,3.0
748,14.0
749,0.0
750,0.0
751,12.0
752,5.0
753,1.0
754,0.0
755,0.0
756,6.0
757,3.0
758,1.0
759,19.0
760,4.0
761,0.0
762,14.0
763,0.0
764,2.0
765,2.0
766,5.0
767,0.0
768,4.0
769,7.0
770,0.0
771,28.0
772,7.0
773,0.0
774,7.0
775,13.0
776,7.0
777,1.0
778,6.0
779,2.0
780,27.0
781,6.0
782,15.0
783,7.0
784,1.0
785,2.0
786,16.0
787,5.0
788,4.0
789,7.0
790,26.0
791,27.0
792,28.0
793,12.0
794,4.0
795,0.0
796,0.0
797,1.0
798,16.0
799,12.0
800,0.0
801,14.0
802,33.0
803,27.0
804,1.0
805,1.0
806,18.0
807,39.0
808,0.0
809,30.0
810,15.0
811,13.0
812,0.0
813,0.0
814,12.0
815,7.0
816,22.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,26.0
823,0.0
824,0.0
825,1.0
826,31.0
827,0.0
828,0.0
829,39.0
830,25.0
831,2.0
832,2.0
833,0.0
834,19.0
835,5.0
836,1.0
837,3.0
838,8.0
839,4.0
840,0.0
841,1.0
842,0.0
843,2.0
844,10.0
845,1.0
846,0.0
847,0.0
848,9.0
849,3.0
850,16.0
851,0.0
852,8.0
853,17.0
854,21.0
855,8.0
856,0.0
857,4.0
858,1.0
859,0.0
860,0.0
861,0.0
862,28.0
863,0.0
864,0.0
865,13.0
866,2.0
867,1.0
868,0.0
869,0.0
870,0.0
871,2.0
872,0.0
873,0.0
874,0.0
875,0.0
876,2.0
877,6.0
878,0.0
879,2.0
880,13.0
881,2.0
882,21.0
883,1.0
884,13.0
885,1.0
886,1.0
887,0.0
888,1.0
889,0.0
890,0.0
891,0.0
892,2.0
893,3.0
894,1.0
895,0.0
896,0.0
897,1.0
898,0.0
899,0.0
900,1.0
901,0.0
902,0.0
903,2.0
904,0.0
905,0.0
906,1.0
907,1.0
908,3.0
909,1.0
910,3.0
911,1.0
912,1.0
913,2.0
914,1.0
915,0.0
916,0.0
917,1.0
918,0.0
919,0.0
920,3.0
921,1.0
922,1.0
923,0.0
924,0.0
925,0.0
926,1.0
927,1.0
928,0.0
929,0.0
930,13.0
931,0.0
932,1.0
933,2.0
934,0.0
935,1.0
936,0.0
937,9.0
938,1.0
939,25.0
940,15.0
941,6.0
942,36.0
943,0.0
944,23.0
945,27.0
946,1.0
947,3.0
948,3.0
949,0.0
950,0.0
951,8.0
952,0.0
953,2.0
954,0.0
955,3.0
956,32.0
957,3.0
958,12.0
959,14.0
960,17.0
961,0.0
962,0.0
963,0.0
964,17.0
965,17.0
966,3.0
967,3.0
968,22.0
969,41.0
970,31.0
971,0.0
972,38.0
973,2.0
974,17.0
975,3.0
976,22.0
977,37.0
978,5.0
979,25.0
980,9.0
981,1.0
982,19.0
983,5.0
984,8.0
985,5.0
986,1.0
987,6.0
988,9.0
989,5.0
990,0.0
991,3.0
992,7.0
993,5.0
994,0.0
995,2.0
996,0.0
997,2.0
998,1.0
999,14.0
1000,0.0
1001,19.0
1002,18.0
1003,4.0
1004,21.0
1005,0.0
1006,33.0
1007,42.0
1008,25.0
1009,33.0
1010,35.0
1011,39.0
1012,22.0
1013,5.0
1014,6.0
1015,14.0
1016,3.0
1017,0.0
1018,0.0
1019,50.0
1020,21.0
1021,18.0
1022,2.0
1023,11.0
1024,4.0
1025,23.0
1026,5.0
1027,0.0
1028,0.0
1029,0.0
1030,30.0
1031,34.0
1032,2.0
1033,22.0
1034,35.0
1035,55.0
1036,6.0
1037,28.0
1038,34.0
1039,2.0
1040,31.0
1041,20.0
1042,10.0
1043,3.0
1044,27.0
1045,20.0
1046,1.0
1047,0.0
1048,5.0
1049,18.0
1050,20.0
1051,27.0
1052,24.0
1053,3.0
1054,30.0
1055,15.0
1056,4.0
1057,32.0
1058,41.0
1059,5.0
1060,22.0
1061,3.0
1062,22.0
1063,3.0
1064,2.0
1065,25.0
1066,0.0
1067,1.0
1068,3.0
1069,21.0
1070,3.0
1071,8.0
1072,0.0
1073,25.0
1074,8.0
1075,22.0
1076,18.0
1077,14.0
1078,7.0
1079,20.0
1080,1.0
1081,10.0
1082,18.0
1083,2.0
1084,14.0
1085,0.0
1086,25.0
1087,7.0
1088,4.0
1089,16.0
1090,8.0
1091,3.0
1092,25.0
1093,22.0
1094,1.0
1095,19.0
1096,21.0
1097,1.0
1098,6.0
1099,35.0
1100,0.0
1101,22.0
1102,26.0
1103,8.0
1104,28.0
1105,6.0
1106,7.0
1107,6.0
1108,3.0
1109,18.0
1110,24.0
1111,29.0
1112,12.0
1113,12.0
1114,1.0
1115,3.0
1116,20.0
1117,0.0
