,Gprc5b
532,0.0
533,1.0
534,0.0
535,2.0
536,0.0
537,0.0
538,1.0
539,0.0
540,0.0
541,4.0
542,1.0
543,0.0
544,0.0
545,1.0
546,0.0
547,0.0
548,3.0
549,1.0
550,5.0
551,0.0
552,0.0
553,1.0
554,0.0
555,1.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,1.0
565,2.0
566,2.0
567,0.0
568,0.0
569,0.0
570,2.0
571,0.0
572,1.0
573,0.0
574,0.0
575,2.0
576,0.0
577,2.0
578,0.0
579,0.0
580,0.0
581,14.0
582,0.0
583,0.0
584,0.0
585,3.0
586,0.0
587,0.0
588,4.0
589,0.0
590,0.0
591,0.0
592,1.0
593,0.0
594,0.0
595,0.0
596,1.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,3.0
607,2.0
608,1.0
609,1.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,7.0
619,0.0
620,0.0
621,0.0
622,0.0
623,4.0
624,0.0
625,0.0
626,0.0
627,6.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,1.0
634,0.0
635,0.0
636,0.0
637,0.0
638,4.0
639,0.0
640,0.0
641,4.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,1.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,3.0
655,1.0
656,0.0
657,0.0
658,0.0
659,1.0
660,0.0
661,0.0
662,0.0
663,0.0
664,1.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,2.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,2.0
687,0.0
688,0.0
689,0.0
690,1.0
691,0.0
692,2.0
693,0.0
694,5.0
695,0.0
696,0.0
697,7.0
698,0.0
699,1.0
700,1.0
701,0.0
702,0.0
703,1.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,6.0
715,0.0
716,1.0
717,5.0
718,0.0
719,0.0
720,0.0
721,2.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,1.0
729,0.0
730,1.0
731,1.0
732,1.0
733,0.0
734,0.0
735,0.0
736,0.0
737,2.0
738,3.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,3.0
747,0.0
748,1.0
749,2.0
750,0.0
751,0.0
752,6.0
753,2.0
754,1.0
755,1.0
756,0.0
757,4.0
758,0.0
759,0.0
760,1.0
761,2.0
762,1.0
763,1.0
764,1.0
765,2.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,1.0
772,32.0
773,2.0
774,1.0
775,0.0
776,0.0
777,0.0
778,2.0
779,0.0
780,0.0
781,0.0
782,1.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
