,Fzd3
532,14.0
533,15.0
534,18.0
535,2.0
536,14.0
537,10.0
538,3.0
539,4.0
540,2.0
541,0.0
542,5.0
543,1.0
544,17.0
545,11.0
546,17.0
547,0.0
548,0.0
549,0.0
550,10.0
551,6.0
552,19.0
553,8.0
554,19.0
555,6.0
556,6.0
557,9.0
558,2.0
559,0.0
560,2.0
561,8.0
562,14.0
563,13.0
564,4.0
565,11.0
566,0.0
567,4.0
568,0.0
569,4.0
570,0.0
571,2.0
572,0.0
573,1.0
574,6.0
575,7.0
576,7.0
577,7.0
578,19.0
579,0.0
580,0.0
581,1.0
582,6.0
583,3.0
584,1.0
585,1.0
586,3.0
587,6.0
588,1.0
589,4.0
590,4.0
591,19.0
592,8.0
593,14.0
594,15.0
595,3.0
596,2.0
597,2.0
598,3.0
599,13.0
600,6.0
601,10.0
602,15.0
603,20.0
604,6.0
605,12.0
606,2.0
607,0.0
608,0.0
609,3.0
610,0.0
611,11.0
612,2.0
613,1.0
614,5.0
615,3.0
616,0.0
617,2.0
618,1.0
619,13.0
620,3.0
621,6.0
622,15.0
623,0.0
624,8.0
625,2.0
626,2.0
627,2.0
628,10.0
629,0.0
630,0.0
631,5.0
632,20.0
633,0.0
634,1.0
635,2.0
636,1.0
637,10.0
638,1.0
639,11.0
640,3.0
641,4.0
642,1.0
643,2.0
644,11.0
645,5.0
646,0.0
647,1.0
648,0.0
649,0.0
650,12.0
651,1.0
652,3.0
653,11.0
654,1.0
655,2.0
656,7.0
657,14.0
658,3.0
659,0.0
660,9.0
661,3.0
662,5.0
663,10.0
664,20.0
665,7.0
666,5.0
667,0.0
668,6.0
669,6.0
670,1.0
671,0.0
672,7.0
673,6.0
674,1.0
675,0.0
676,13.0
677,0.0
678,25.0
679,14.0
680,9.0
681,9.0
682,15.0
683,3.0
684,5.0
685,10.0
686,0.0
687,0.0
688,15.0
689,0.0
690,13.0
691,1.0
692,3.0
693,11.0
694,2.0
695,14.0
696,8.0
697,1.0
698,11.0
699,1.0
700,6.0
701,3.0
702,1.0
703,0.0
704,12.0
705,3.0
706,8.0
707,0.0
708,10.0
709,7.0
710,1.0
711,4.0
712,13.0
713,2.0
714,0.0
715,2.0
716,11.0
717,18.0
718,11.0
719,12.0
720,13.0
721,0.0
722,0.0
723,17.0
724,0.0
725,10.0
726,7.0
727,2.0
728,4.0
729,0.0
730,0.0
731,0.0
732,0.0
733,7.0
734,5.0
735,11.0
736,11.0
737,4.0
738,1.0
739,8.0
740,0.0
741,8.0
742,4.0
743,5.0
744,3.0
745,0.0
746,1.0
747,1.0
748,7.0
749,7.0
750,0.0
751,12.0
752,0.0
753,1.0
754,0.0
755,0.0
756,0.0
757,1.0
758,0.0
759,11.0
760,4.0
761,1.0
762,16.0
763,1.0
764,3.0
765,0.0
766,1.0
767,1.0
768,4.0
769,2.0
770,0.0
771,8.0
772,3.0
773,1.0
774,5.0
775,1.0
776,2.0
777,2.0
778,4.0
779,0.0
780,13.0
781,1.0
782,8.0
783,4.0
784,2.0
785,2.0
786,4.0
787,4.0
788,1.0
789,0.0
790,17.0
791,7.0
792,13.0
793,5.0
794,7.0
795,0.0
796,0.0
797,0.0
798,6.0
799,7.0
800,1.0
801,12.0
802,13.0
803,5.0
804,2.0
805,1.0
806,11.0
807,9.0
808,1.0
809,7.0
810,7.0
811,4.0
812,0.0
813,0.0
814,10.0
815,5.0
816,7.0
817,0.0
818,0.0
819,0.0
820,0.0
821,2.0
822,16.0
823,2.0
824,2.0
825,1.0
826,19.0
827,0.0
828,4.0
829,10.0
830,6.0
831,0.0
832,0.0
833,0.0
834,7.0
835,0.0
836,0.0
837,1.0
838,2.0
839,2.0
840,0.0
841,3.0
842,0.0
843,1.0
844,3.0
845,0.0
846,0.0
847,0.0
848,7.0
849,2.0
850,9.0
851,0.0
852,2.0
853,5.0
854,13.0
855,7.0
856,3.0
857,1.0
858,1.0
859,0.0
860,0.0
861,0.0
862,19.0
863,1.0
864,0.0
865,4.0
866,0.0
867,0.0
868,0.0
869,2.0
870,2.0
871,2.0
872,4.0
873,0.0
874,0.0
875,0.0
876,1.0
877,1.0
878,0.0
879,0.0
880,8.0
881,1.0
882,11.0
