,Adgrl2
0,4.0
1,1.0
2,1.0
3,2.0
4,0.0
5,0.0
6,1.0
7,0.0
8,5.0
9,0.0
10,1.0
11,1.0
12,0.0
13,0.0
14,0.0
15,0.0
16,2.0
17,0.0
18,0.0
19,1.0
20,2.0
21,1.0
22,2.0
23,0.0
24,2.0
25,0.0
26,1.0
27,0.0
28,0.0
29,2.0
30,0.0
31,1.0
32,1.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,1.0
39,5.0
40,0.0
41,2.0
42,0.0
43,0.0
44,0.0
45,2.0
46,2.0
47,0.0
48,0.0
49,2.0
50,1.0
51,0.0
52,0.0
53,2.0
54,0.0
55,2.0
56,0.0
57,0.0
58,2.0
59,1.0
60,1.0
61,0.0
62,0.0
63,1.0
64,0.0
65,0.0
66,0.0
67,2.0
68,4.0
69,0.0
70,0.0
71,1.0
72,2.0
73,0.0
74,1.0
75,1.0
76,0.0
77,1.0
78,0.0
79,0.0
80,1.0
81,1.0
82,1.0
83,4.0
84,1.0
85,1.0
86,0.0
87,6.0
88,0.0
89,4.0
90,0.0
91,1.0
92,3.0
93,0.0
94,1.0
95,2.0
96,2.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,1.0
103,0.0
104,0.0
105,3.0
106,1.0
107,1.0
108,1.0
109,0.0
110,1.0
111,0.0
112,0.0
113,2.0
114,0.0
115,0.0
116,1.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,1.0
123,0.0
124,2.0
125,0.0
126,0.0
127,0.0
128,2.0
129,0.0
130,0.0
131,0.0
132,1.0
133,1.0
134,14.0
135,1.0
136,1.0
137,0.0
138,1.0
139,0.0
140,1.0
141,11.0
142,7.0
143,15.0
144,0.0
145,1.0
146,1.0
147,0.0
148,0.0
149,0.0
150,5.0
151,0.0
152,2.0
153,6.0
154,1.0
155,13.0
156,3.0
157,0.0
158,4.0
159,5.0
160,2.0
161,0.0
162,1.0
163,1.0
164,0.0
165,0.0
166,1.0
167,0.0
168,8.0
169,1.0
170,7.0
171,1.0
172,0.0
173,11.0
174,0.0
175,0.0
176,9.0
177,1.0
178,1.0
179,6.0
180,0.0
181,21.0
182,0.0
183,2.0
184,11.0
185,6.0
186,0.0
187,0.0
188,6.0
189,0.0
190,0.0
191,0.0
192,0.0
193,7.0
194,5.0
195,2.0
196,1.0
197,0.0
198,0.0
199,4.0
200,3.0
201,1.0
202,0.0
203,8.0
204,2.0
205,0.0
206,0.0
207,5.0
208,2.0
209,0.0
210,0.0
211,1.0
212,0.0
213,7.0
214,0.0
215,2.0
216,0.0
217,6.0
218,1.0
219,1.0
220,10.0
221,0.0
222,8.0
223,0.0
224,0.0
225,12.0
226,1.0
227,0.0
228,2.0
229,0.0
230,1.0
231,13.0
232,5.0
233,18.0
234,0.0
235,1.0
236,5.0
237,2.0
238,5.0
239,0.0
240,11.0
241,0.0
242,4.0
243,1.0
244,3.0
245,3.0
246,0.0
247,0.0
248,0.0
249,4.0
250,0.0
251,1.0
252,1.0
253,0.0
254,0.0
255,3.0
256,0.0
257,1.0
258,1.0
259,2.0
260,5.0
261,1.0
262,11.0
263,0.0
264,7.0
265,2.0
266,0.0
267,5.0
268,3.0
269,6.0
270,1.0
271,0.0
272,1.0
273,8.0
274,5.0
275,13.0
276,0.0
277,12.0
278,2.0
279,6.0
280,8.0
281,1.0
282,5.0
283,6.0
284,4.0
285,11.0
286,0.0
287,4.0
288,2.0
289,3.0
290,1.0
291,1.0
292,7.0
293,12.0
294,8.0
295,5.0
296,0.0
297,0.0
298,0.0
299,4.0
300,0.0
301,8.0
302,0.0
303,5.0
304,1.0
305,1.0
306,0.0
307,5.0
308,0.0
309,5.0
310,6.0
311,0.0
312,10.0
313,0.0
314,8.0
315,0.0
316,1.0
317,7.0
318,12.0
319,1.0
320,8.0
321,10.0
322,0.0
323,2.0
324,1.0
325,2.0
326,8.0
327,1.0
328,0.0
329,2.0
330,7.0
331,3.0
332,1.0
333,5.0
334,4.0
335,2.0
336,0.0
337,0.0
338,7.0
339,0.0
340,12.0
341,5.0
342,0.0
343,1.0
344,0.0
345,3.0
346,0.0
347,1.0
348,0.0
349,0.0
350,0.0
351,2.0
352,4.0
353,10.0
354,0.0
355,10.0
356,2.0
357,8.0
358,1.0
359,4.0
360,8.0
361,3.0
362,4.0
363,11.0
364,0.0
365,5.0
366,3.0
367,1.0
368,2.0
369,1.0
370,0.0
371,11.0
372,0.0
373,1.0
374,11.0
375,3.0
376,6.0
377,7.0
378,1.0
379,7.0
380,0.0
381,3.0
382,0.0
383,0.0
384,5.0
385,1.0
386,8.0
387,0.0
388,2.0
389,2.0
390,0.0
391,0.0
392,1.0
393,0.0
394,6.0
395,7.0
396,0.0
397,4.0
398,1.0
399,3.0
400,5.0
401,0.0
402,2.0
403,4.0
404,2.0
405,2.0
406,4.0
407,0.0
408,0.0
409,0.0
410,0.0
411,4.0
412,0.0
413,0.0
414,10.0
415,5.0
416,2.0
417,1.0
418,1.0
419,0.0
420,3.0
421,4.0
422,3.0
423,0.0
424,0.0
425,0.0
426,6.0
427,3.0
428,2.0
429,4.0
430,0.0
431,3.0
432,1.0
433,1.0
434,9.0
435,4.0
436,5.0
437,2.0
438,1.0
439,0.0
440,5.0
441,7.0
442,0.0
443,0.0
444,3.0
445,2.0
446,4.0
447,7.0
448,5.0
449,4.0
450,6.0
451,0.0
452,1.0
453,0.0
454,0.0
455,0.0
456,0.0
457,2.0
458,0.0
459,1.0
460,2.0
461,13.0
462,0.0
463,2.0
464,4.0
465,5.0
466,2.0
467,5.0
468,2.0
469,0.0
470,9.0
471,2.0
472,5.0
473,3.0
474,1.0
475,4.0
476,5.0
477,7.0
478,0.0
479,7.0
480,7.0
481,8.0
482,1.0
483,1.0
484,2.0
485,0.0
486,0.0
487,2.0
488,2.0
489,1.0
490,8.0
491,9.0
492,4.0
493,8.0
494,8.0
495,8.0
496,8.0
497,0.0
498,5.0
499,5.0
500,3.0
501,7.0
502,5.0
503,5.0
504,0.0
505,7.0
506,13.0
507,1.0
508,0.0
509,0.0
510,2.0
511,1.0
512,13.0
513,1.0
514,3.0
515,0.0
516,6.0
517,1.0
518,6.0
519,1.0
520,7.0
521,0.0
522,1.0
523,6.0
524,0.0
525,3.0
526,0.0
527,1.0
528,6.0
529,0.0
530,1.0
531,2.0
532,10.0
533,6.0
534,10.0
535,0.0
536,4.0
537,6.0
538,0.0
539,0.0
540,2.0
541,1.0
542,1.0
543,1.0
544,10.0
545,9.0
546,10.0
547,0.0
548,2.0
549,2.0
550,4.0
551,2.0
552,11.0
553,3.0
554,16.0
555,1.0
556,5.0
557,1.0
558,0.0
559,0.0
560,0.0
561,8.0
562,8.0
563,9.0
564,2.0
565,6.0
566,0.0
567,0.0
568,1.0
569,3.0
570,0.0
571,4.0
572,2.0
573,0.0
574,11.0
575,2.0
576,3.0
577,8.0
578,4.0
579,0.0
580,1.0
581,2.0
582,8.0
583,1.0
584,1.0
585,1.0
586,2.0
587,1.0
588,0.0
589,1.0
590,2.0
591,7.0
592,5.0
593,8.0
594,2.0
595,1.0
596,0.0
597,0.0
598,0.0
599,7.0
600,2.0
601,2.0
602,9.0
603,9.0
604,0.0
605,9.0
606,0.0
607,0.0
608,0.0
609,0.0
610,1.0
611,10.0
612,3.0
613,2.0
614,6.0
615,1.0
616,0.0
617,3.0
618,0.0
619,8.0
620,1.0
621,2.0
622,8.0
623,1.0
624,2.0
625,1.0
626,0.0
