,Sema4d
532,5.0
533,2.0
534,0.0
535,0.0
536,1.0
537,3.0
538,1.0
539,1.0
540,0.0
541,0.0
542,0.0
543,0.0
544,3.0
545,7.0
546,4.0
547,0.0
548,0.0
549,0.0
550,3.0
551,5.0
552,0.0
553,3.0
554,2.0
555,1.0
556,2.0
557,1.0
558,0.0
559,0.0
560,0.0
561,2.0
562,1.0
563,1.0
564,2.0
565,2.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,5.0
575,0.0
576,0.0
577,4.0
578,4.0
579,0.0
580,0.0
581,2.0
582,0.0
583,2.0
584,0.0
585,1.0
586,1.0
587,3.0
588,0.0
589,0.0
590,1.0
591,4.0
592,1.0
593,2.0
594,1.0
595,1.0
596,0.0
597,1.0
598,0.0
599,2.0
600,0.0
601,2.0
602,2.0
603,2.0
604,1.0
605,1.0
606,0.0
607,0.0
608,1.0
609,1.0
610,0.0
611,1.0
612,1.0
613,2.0
614,3.0
615,1.0
616,0.0
617,1.0
618,0.0
619,1.0
620,1.0
621,0.0
622,5.0
623,0.0
624,1.0
625,0.0
626,0.0
627,1.0
628,3.0
629,0.0
630,0.0
631,1.0
632,3.0
633,1.0
634,1.0
635,2.0
636,1.0
637,2.0
638,0.0
639,2.0
640,1.0
641,2.0
642,0.0
643,2.0
644,3.0
645,2.0
646,0.0
647,0.0
648,0.0
649,1.0
650,3.0
651,1.0
652,0.0
653,2.0
654,0.0
655,0.0
656,1.0
657,2.0
658,0.0
659,0.0
660,2.0
661,1.0
662,0.0
663,2.0
664,3.0
665,0.0
666,0.0
667,1.0
668,1.0
669,4.0
670,0.0
671,0.0
672,4.0
673,0.0
674,0.0
675,0.0
676,6.0
677,0.0
678,1.0
679,2.0
680,1.0
681,0.0
682,3.0
683,0.0
684,0.0
685,4.0
686,0.0
687,0.0
688,3.0
689,1.0
690,0.0
691,0.0
692,1.0
693,4.0
694,0.0
695,5.0
696,0.0
697,3.0
698,0.0
699,0.0
700,1.0
701,0.0
702,0.0
703,0.0
704,1.0
705,1.0
706,0.0
707,0.0
708,1.0
709,1.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,2.0
717,1.0
718,1.0
719,3.0
720,3.0
721,0.0
722,0.0
723,1.0
724,0.0
725,3.0
726,1.0
727,4.0
728,1.0
729,0.0
730,0.0
731,0.0
732,1.0
733,0.0
734,2.0
735,4.0
736,3.0
737,0.0
738,0.0
739,3.0
740,0.0
741,1.0
742,0.0
743,2.0
744,1.0
745,0.0
746,0.0
747,1.0
748,1.0
749,2.0
750,1.0
751,1.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,1.0
760,1.0
761,0.0
762,4.0
763,0.0
764,0.0
765,0.0
766,1.0
767,0.0
768,0.0
769,0.0
770,0.0
771,1.0
772,24.0
773,0.0
774,2.0
775,0.0
776,0.0
777,1.0
778,0.0
779,0.0
780,2.0
781,2.0
782,2.0
783,5.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,2.0
791,1.0
792,3.0
793,1.0
794,0.0
795,0.0
796,0.0
797,0.0
798,1.0
799,4.0
800,0.0
801,1.0
802,2.0
803,0.0
804,0.0
805,1.0
806,4.0
807,2.0
808,0.0
809,5.0
810,3.0
811,0.0
812,0.0
813,0.0
814,0.0
815,1.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,3.0
823,0.0
824,0.0
825,0.0
826,4.0
827,0.0
828,0.0
829,2.0
830,2.0
831,0.0
832,0.0
833,0.0
834,3.0
835,1.0
836,0.0
837,1.0
838,0.0
839,0.0
840,0.0
841,1.0
842,0.0
843,1.0
844,1.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,1.0
851,0.0
852,0.0
853,4.0
854,1.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,2.0
863,0.0
864,0.0
865,0.0
866,1.0
867,0.0
868,0.0
869,0.0
870,0.0
871,1.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,2.0
878,1.0
879,0.0
880,1.0
881,0.0
882,1.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,2.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,1.0
905,0.0
906,0.0
907,1.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,1.0
915,0.0
916,0.0
917,1.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,1.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,2.0
938,0.0
939,1.0
940,0.0
941,3.0
942,0.0
943,1.0
944,0.0
945,4.0
946,0.0
947,3.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,4.0
957,0.0
958,0.0
959,0.0
960,3.0
961,0.0
962,0.0
963,0.0
964,1.0
965,1.0
966,0.0
967,0.0
968,3.0
969,3.0
970,2.0
971,0.0
972,0.0
973,0.0
974,1.0
975,0.0
976,2.0
977,4.0
978,0.0
979,2.0
980,4.0
981,0.0
982,2.0
983,1.0
984,0.0
985,1.0
986,0.0
987,0.0
988,1.0
989,0.0
990,0.0
991,0.0
992,1.0
993,1.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,1.0
1000,1.0
1001,2.0
1002,1.0
1003,1.0
1004,0.0
1005,0.0
1006,2.0
1007,1.0
1008,6.0
1009,2.0
1010,1.0
1011,1.0
1012,2.0
1013,0.0
1014,0.0
1015,2.0
1016,0.0
1017,2.0
1018,0.0
1019,3.0
1020,1.0
1021,2.0
1022,0.0
1023,0.0
1024,1.0
1025,1.0
1026,2.0
1027,0.0
1028,0.0
1029,0.0
1030,2.0
1031,3.0
1032,1.0
1033,2.0
1034,1.0
1035,4.0
1036,0.0
1037,1.0
1038,1.0
1039,1.0
1040,1.0
1041,0.0
1042,1.0
1043,0.0
1044,5.0
1045,54.0
1046,1.0
1047,0.0
1048,2.0
1049,1.0
1050,1.0
1051,2.0
1052,1.0
1053,0.0
1054,1.0
1055,2.0
1056,1.0
1057,0.0
1058,4.0
1059,0.0
1060,1.0
1061,0.0
1062,1.0
1063,0.0
1064,0.0
1065,1.0
1066,0.0
1067,0.0
1068,0.0
1069,2.0
1070,0.0
1071,1.0
1072,0.0
1073,3.0
1074,3.0
1075,2.0
1076,3.0
1077,0.0
1078,0.0
1079,2.0
1080,0.0
1081,0.0
1082,1.0
1083,0.0
1084,1.0
1085,1.0
1086,1.0
1087,2.0
1088,0.0
1089,0.0
1090,3.0
1091,0.0
1092,1.0
1093,0.0
1094,0.0
1095,3.0
1096,0.0
1097,0.0
1098,0.0
1099,2.0
1100,0.0
1101,0.0
1102,3.0
1103,1.0
1104,3.0
1105,0.0
1106,1.0
1107,0.0
1108,0.0
1109,2.0
1110,3.0
1111,5.0
1112,2.0
1113,2.0
1114,0.0
1115,0.0
1116,1.0
1117,0.0
1118,0.0
1119,0.0
1120,3.0
1121,0.0
1122,0.0
1123,1.0
1124,3.0
1125,0.0
1126,0.0
1127,0.0
1128,3.0
1129,0.0
1130,0.0
1131,2.0
1132,1.0
1133,1.0
1134,4.0
1135,0.0
1136,0.0
1137,3.0
1138,3.0
1139,1.0
1140,1.0
1141,3.0
1142,0.0
1143,0.0
1144,3.0
1145,0.0
1146,0.0
1147,1.0
1148,0.0
1149,6.0
1150,3.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,1.0
1157,1.0
1158,0.0
1159,0.0
1160,1.0
1161,1.0
1162,2.0
1163,2.0
1164,0.0
1165,1.0
1166,0.0
1167,1.0
1168,1.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,2.0
1176,3.0
1177,0.0
1178,0.0
1179,0.0
1180,3.0
1181,2.0
1182,0.0
1183,3.0
1184,0.0
1185,2.0
1186,1.0
1187,1.0
1188,1.0
1189,2.0
1190,2.0
1191,0.0
1192,0.0
1193,0.0
1194,2.0
1195,3.0
1196,2.0
1197,1.0
1198,2.0
1199,0.0
1200,2.0
1201,0.0
1202,1.0
1203,3.0
1204,1.0
1205,2.0
1206,0.0
1207,1.0
1208,0.0
1209,1.0
1210,0.0
1211,1.0
1212,0.0
1213,4.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,1.0
1220,0.0
1221,0.0
1222,1.0
1223,2.0
1224,0.0
1225,1.0
1226,0.0
1227,0.0
1228,1.0
1229,0.0
1230,1.0
1231,2.0
1232,0.0
1233,0.0
1234,0.0
1235,1.0
1236,0.0
1237,3.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,3.0
1243,0.0
1244,0.0
1245,3.0
1246,1.0
1247,0.0
1248,2.0
1249,0.0
1250,0.0
1251,3.0
1252,0.0
1253,0.0
1254,3.0
1255,3.0
1256,0.0
1257,0.0
1258,1.0
1259,3.0
1260,0.0
1261,0.0
1262,2.0
1263,0.0
1264,0.0
1265,2.0
1266,0.0
1267,0.0
1268,0.0
1269,3.0
1270,0.0
1271,4.0
1272,0.0
1273,0.0
1274,1.0
1275,0.0
1276,3.0
1277,1.0
1278,3.0
1279,4.0
1280,2.0
1281,2.0
1282,0.0
1283,0.0
1284,2.0
1285,0.0
1286,0.0
1287,0.0
1288,3.0
1289,0.0
1290,0.0
1291,1.0
1292,3.0
1293,1.0
1294,1.0
1295,0.0
1296,0.0
1297,13.0
1298,2.0
1299,0.0
1300,2.0
1301,0.0
1302,3.0
1303,2.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,2.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,1.0
1314,0.0
1315,2.0
1316,2.0
1317,0.0
1318,0.0
1319,0.0
1320,5.0
1321,2.0
1322,0.0
1323,0.0
1324,0.0
1325,1.0
1326,0.0
1327,1.0
1328,4.0
1329,2.0
1330,4.0
1331,0.0
1332,5.0
1333,0.0
1334,1.0
1335,2.0
1336,2.0
1337,2.0
1338,0.0
1339,3.0
1340,3.0
1341,0.0
1342,1.0
1343,0.0
1344,0.0
1345,1.0
1346,0.0
1347,2.0
1348,0.0
1349,1.0
1350,0.0
1351,0.0
1352,1.0
1353,1.0
1354,2.0
1355,0.0
1356,0.0
1357,1.0
1358,1.0
1359,0.0
1360,2.0
1361,3.0
1362,2.0
1363,1.0
1364,0.0
1365,3.0
1366,0.0
1367,2.0
1368,0.0
1369,0.0
1370,2.0
1371,2.0
1372,0.0
1373,1.0
1374,3.0
1375,0.0
1376,1.0
1377,1.0
1378,1.0
1379,0.0
1380,3.0
1381,0.0
1382,5.0
1383,1.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,2.0
1392,1.0
1393,0.0
1394,0.0
1395,3.0
1396,0.0
1397,0.0
1398,3.0
1399,1.0
1400,0.0
1401,0.0
1402,3.0
1403,0.0
1404,1.0
1405,1.0
1406,0.0
1407,2.0
1408,0.0
1409,1.0
1410,1.0
1411,1.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,1.0
1417,1.0
1418,0.0
1419,0.0
1420,1.0
1421,2.0
1422,0.0
1423,3.0
1424,1.0
1425,2.0
1426,3.0
1427,0.0
1428,0.0
1429,2.0
1430,0.0
1431,2.0
1432,0.0
1433,0.0
1434,0.0
1435,4.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,3.0
1442,4.0
1443,0.0
1444,0.0
1445,1.0
1446,0.0
1447,1.0
1448,1.0
1449,3.0
1450,0.0
1451,0.0
1452,16.0
1453,0.0
1454,2.0
1455,1.0
1456,0.0
1457,0.0
1458,1.0
1459,0.0
1460,1.0
1461,4.0
1462,2.0
1463,0.0
1464,1.0
1465,0.0
1466,5.0
1467,1.0
1468,0.0
1469,3.0
1470,0.0
1471,4.0
1472,1.0
1473,1.0
1474,2.0
1475,1.0
1476,0.0
1477,2.0
1478,0.0
1479,1.0
1480,3.0
1481,5.0
1482,2.0
1483,1.0
1484,0.0
1485,3.0
1486,2.0
1487,2.0
1488,2.0
1489,0.0
1490,1.0
1491,0.0
1492,0.0
1493,2.0
1494,2.0
1495,3.0
1496,1.0
1497,1.0
1498,0.0
1499,3.0
1500,0.0
1501,1.0
1502,1.0
1503,0.0
1504,2.0
1505,0.0
1506,3.0
1507,0.0
1508,2.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
