,Slc17a7
532,56.0
533,68.0
534,58.0
535,1.0
536,49.0
537,65.0
538,15.0
539,6.0
540,9.0
541,1.0
542,26.0
543,2.0
544,86.0
545,66.0
546,86.0
547,0.0
548,2.0
549,2.0
550,80.0
551,37.0
552,65.0
553,56.0
554,80.0
555,53.0
556,55.0
557,40.0
558,9.0
559,2.0
560,4.0
561,78.0
562,75.0
563,63.0
564,30.0
565,55.0
566,3.0
567,22.0
568,12.0
569,28.0
570,3.0
571,19.0
572,1.0
573,2.0
574,65.0
575,64.0
576,38.0
577,64.0
578,103.0
579,1.0
580,2.0
581,3.0
582,16.0
583,38.0
584,10.0
585,12.0
586,20.0
587,50.0
588,1.0
589,9.0
590,16.0
591,69.0
592,53.0
593,83.0
594,45.0
595,48.0
596,1.0
597,3.0
598,14.0
599,73.0
600,29.0
601,57.0
602,88.0
603,103.0
604,53.0
605,100.0
606,4.0
607,4.0
608,13.0
609,1.0
610,1.0
611,29.0
612,31.0
613,11.0
614,45.0
615,24.0
616,8.0
617,16.0
618,3.0
619,98.0
620,14.0
621,40.0
622,103.0
623,0.0
624,55.0
625,14.0
626,0.0
627,1.0
628,51.0
629,4.0
630,1.0
631,34.0
632,69.0
633,0.0
634,1.0
635,45.0
636,6.0
637,80.0
638,2.0
639,47.0
640,30.0
641,2.0
642,0.0
643,1.0
644,65.0
645,48.0
646,2.0
647,0.0
648,1.0
649,1.0
650,90.0
651,12.0
652,8.0
653,70.0
654,0.0
655,19.0
656,75.0
657,92.0
658,13.0
659,0.0
660,55.0
661,18.0
662,29.0
663,50.0
664,132.0
665,18.0
666,60.0
667,2.0
668,28.0
669,43.0
670,8.0
671,0.0
672,69.0
673,29.0
674,1.0
675,1.0
676,58.0
677,3.0
678,87.0
679,25.0
680,50.0
681,67.0
682,129.0
683,20.0
684,19.0
685,38.0
686,0.0
687,2.0
688,47.0
689,8.0
690,52.0
691,7.0
692,4.0
693,52.0
694,4.0
695,49.0
696,45.0
697,9.0
698,22.0
699,6.0
700,44.0
701,32.0
702,2.0
703,0.0
704,44.0
705,58.0
706,82.0
707,1.0
708,86.0
709,71.0
710,1.0
711,43.0
712,71.0
713,6.0
714,0.0
715,15.0
716,68.0
717,78.0
718,67.0
719,36.0
720,64.0
721,3.0
722,0.0
723,84.0
724,1.0
725,63.0
726,45.0
727,0.0
728,1.0
729,1.0
730,0.0
731,1.0
732,4.0
733,11.0
734,0.0
735,42.0
736,74.0
737,0.0
738,0.0
739,51.0
740,0.0
741,49.0
742,53.0
743,96.0
744,12.0
745,1.0
746,2.0
747,0.0
748,39.0
749,2.0
750,1.0
751,44.0
752,0.0
753,1.0
754,1.0
755,3.0
756,8.0
757,2.0
758,0.0
759,66.0
760,9.0
761,0.0
762,79.0
763,0.0
764,12.0
765,3.0
766,17.0
767,3.0
768,32.0
769,17.0
770,0.0
771,62.0
772,1.0
773,0.0
774,23.0
775,28.0
776,2.0
777,10.0
778,17.0
779,0.0
780,62.0
781,14.0
782,33.0
783,0.0
784,0.0
785,11.0
786,24.0
787,16.0
788,20.0
789,11.0
790,116.0
791,62.0
792,95.0
793,39.0
794,5.0
795,0.0
796,1.0
797,0.0
798,52.0
799,58.0
800,0.0
801,57.0
802,49.0
803,56.0
804,1.0
805,1.0
806,40.0
807,81.0
808,0.0
809,85.0
810,60.0
811,38.0
812,2.0
813,0.0
814,42.0
815,2.0
816,52.0
817,1.0
818,0.0
819,0.0
820,1.0
821,19.0
822,69.0
823,0.0
824,1.0
825,0.0
826,110.0
827,0.0
828,1.0
829,79.0
830,107.0
831,0.0
832,0.0
833,0.0
834,34.0
835,16.0
836,1.0
837,0.0
838,17.0
839,1.0
840,0.0
841,0.0
842,0.0
843,1.0
844,11.0
845,1.0
846,0.0
847,0.0
848,33.0
849,5.0
850,40.0
851,4.0
852,22.0
853,36.0
854,62.0
855,26.0
856,0.0
857,2.0
858,0.0
859,0.0
860,0.0
861,2.0
862,72.0
863,0.0
864,0.0
865,24.0
866,0.0
867,2.0
868,0.0
869,0.0
870,0.0
871,0.0
872,1.0
873,4.0
874,0.0
875,1.0
876,7.0
877,7.0
878,0.0
879,0.0
880,66.0
881,0.0
882,47.0
883,0.0
884,4.0
885,1.0
886,0.0
887,0.0
888,0.0
889,1.0
890,3.0
891,1.0
892,1.0
893,0.0
894,1.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,5.0
901,0.0
902,0.0
903,0.0
904,0.0
905,1.0
906,1.0
907,0.0
908,0.0
909,0.0
910,0.0
911,1.0
912,0.0
913,0.0
914,0.0
915,2.0
916,0.0
917,0.0
918,1.0
919,1.0
920,2.0
921,1.0
922,0.0
923,0.0
924,7.0
925,1.0
926,1.0
927,2.0
928,9.0
929,2.0
930,40.0
931,0.0
932,4.0
933,0.0
934,1.0
935,2.0
936,1.0
937,30.0
938,3.0
939,62.0
940,12.0
941,35.0
942,149.0
943,2.0
944,81.0
945,72.0
946,3.0
947,0.0
948,3.0
949,0.0
950,2.0
951,68.0
952,0.0
953,1.0
954,1.0
955,1.0
956,100.0
957,7.0
958,24.0
959,37.0
960,70.0
961,1.0
962,1.0
963,1.0
964,101.0
965,52.0
966,3.0
967,17.0
968,64.0
969,116.0
970,91.0
971,2.0
972,96.0
973,5.0
974,42.0
975,24.0
976,96.0
977,77.0
978,30.0
979,79.0
980,49.0
981,8.0
982,62.0
983,6.0
984,27.0
