,Chrm3
532,12.0
533,4.0
534,11.0
535,0.0
536,10.0
537,5.0
538,8.0
539,3.0
540,7.0
541,0.0
542,4.0
543,0.0
544,15.0
545,12.0
546,12.0
547,0.0
548,0.0
549,0.0
550,7.0
551,9.0
552,11.0
553,12.0
554,19.0
555,3.0
556,3.0
557,9.0
558,0.0
559,0.0
560,1.0
561,13.0
562,22.0
563,13.0
564,8.0
565,6.0
566,0.0
567,2.0
568,0.0
569,1.0
570,1.0
571,5.0
572,0.0
573,1.0
574,22.0
575,6.0
576,6.0
577,11.0
578,8.0
579,0.0
580,1.0
581,0.0
582,7.0
583,9.0
584,0.0
585,1.0
586,3.0
587,7.0
588,0.0
589,3.0
590,0.0
591,17.0
592,3.0
593,10.0
594,11.0
595,7.0
596,3.0
597,0.0
598,1.0
599,11.0
600,0.0
601,7.0
602,17.0
603,18.0
604,5.0
605,9.0
606,0.0
607,0.0
608,0.0
609,0.0
610,2.0
611,8.0
612,7.0
613,3.0
614,7.0
615,4.0
616,4.0
617,7.0
618,0.0
619,10.0
620,0.0
621,2.0
622,17.0
623,0.0
624,17.0
625,0.0
626,0.0
627,1.0
628,10.0
629,0.0
630,0.0
631,6.0
632,15.0
633,0.0
634,1.0
635,5.0
636,0.0
637,10.0
638,0.0
639,8.0
640,3.0
641,3.0
642,0.0
643,0.0
644,13.0
645,1.0
646,3.0
647,0.0
648,0.0
649,0.0
650,6.0
651,0.0
652,1.0
653,14.0
654,0.0
655,1.0
656,11.0
657,10.0
658,5.0
659,0.0
660,11.0
661,3.0
662,6.0
663,5.0
664,24.0
665,2.0
666,14.0
667,0.0
668,7.0
669,6.0
670,2.0
671,0.0
672,18.0
673,7.0
674,1.0
675,0.0
676,13.0
677,0.0
678,8.0
679,6.0
680,5.0
681,6.0
682,12.0
683,0.0
684,2.0
685,6.0
686,0.0
687,0.0
688,5.0
689,0.0
690,5.0
691,0.0
692,0.0
693,10.0
694,0.0
695,11.0
696,8.0
697,1.0
698,9.0
699,0.0
700,1.0
701,5.0
702,0.0
703,0.0
704,13.0
705,5.0
706,9.0
707,0.0
708,19.0
709,10.0
710,0.0
711,6.0
712,7.0
713,1.0
714,0.0
715,0.0
716,11.0
717,8.0
718,7.0
719,8.0
720,17.0
721,0.0
722,0.0
723,16.0
724,0.0
725,11.0
726,5.0
727,0.0
728,7.0
729,0.0
730,0.0
731,0.0
732,1.0
733,2.0
734,6.0
735,8.0
736,8.0
737,5.0
738,0.0
739,7.0
740,0.0
741,14.0
742,11.0
743,5.0
744,3.0
745,0.0
746,0.0
747,0.0
748,5.0
749,5.0
750,0.0
751,9.0
752,0.0
753,0.0
754,0.0
755,0.0
756,1.0
757,0.0
758,0.0
759,17.0
760,5.0
761,0.0
762,11.0
763,0.0
764,1.0
765,0.0
766,0.0
767,0.0
768,7.0
769,1.0
770,0.0
771,16.0
772,0.0
773,0.0
774,2.0
775,2.0
776,1.0
777,1.0
778,2.0
779,0.0
780,9.0
781,2.0
782,11.0
783,1.0
784,0.0
785,3.0
786,1.0
787,3.0
788,0.0
789,1.0
790,21.0
791,14.0
792,12.0
793,5.0
794,2.0
795,0.0
796,0.0
797,0.0
798,9.0
799,9.0
800,0.0
801,2.0
802,9.0
803,11.0
804,0.0
805,0.0
806,11.0
807,9.0
808,0.0
809,6.0
810,4.0
811,2.0
812,0.0
813,0.0
814,8.0
815,5.0
816,11.0
817,0.0
818,0.0
819,0.0
820,0.0
821,1.0
822,16.0
823,0.0
824,0.0
825,0.0
826,16.0
827,0.0
828,0.0
829,16.0
830,15.0
831,0.0
832,0.0
833,0.0
834,9.0
835,0.0
836,0.0
837,0.0
838,4.0
839,1.0
840,0.0
841,0.0
842,0.0
843,0.0
844,2.0
845,0.0
846,0.0
847,0.0
848,7.0
849,1.0
850,10.0
851,0.0
852,1.0
853,10.0
854,26.0
855,5.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,12.0
863,0.0
864,0.0
865,1.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,13.0
881,0.0
882,10.0
883,0.0
884,1.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,8.0
891,0.0
892,0.0
893,4.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,2.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,3.0
920,0.0
921,0.0
922,0.0
923,0.0
924,5.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,5.0
931,1.0
932,1.0
933,0.0
934,0.0
935,0.0
936,0.0
937,2.0
938,1.0
939,6.0
940,4.0
941,2.0
942,17.0
943,0.0
944,13.0
945,4.0
946,0.0
947,3.0
948,0.0
949,0.0
950,0.0
951,3.0
952,0.0
953,0.0
954,0.0
955,0.0
956,14.0
957,2.0
958,8.0
959,13.0
960,11.0
961,0.0
962,0.0
963,0.0
964,13.0
965,7.0
966,0.0
967,2.0
968,9.0
969,19.0
970,18.0
971,0.0
972,9.0
973,2.0
974,4.0
975,2.0
976,20.0
977,14.0
978,4.0
979,27.0
980,2.0
981,1.0
982,18.0
983,1.0
984,11.0
985,7.0
986,5.0
987,1.0
988,5.0
989,1.0
990,0.0
991,2.0
992,8.0
993,4.0
994,0.0
995,0.0
996,0.0
997,2.0
998,0.0
999,10.0
1000,0.0
1001,7.0
1002,7.0
1003,7.0
1004,3.0
1005,0.0
1006,10.0
1007,25.0
1008,13.0
1009,14.0
1010,7.0
1011,18.0
1012,16.0
1013,1.0
1014,6.0
1015,2.0
1016,1.0
1017,0.0
1018,0.0
1019,9.0
1020,8.0
1021,14.0
1022,0.0
1023,13.0
1024,7.0
1025,8.0
1026,1.0
1027,0.0
1028,2.0
1029,1.0
1030,16.0
1031,17.0
1032,2.0
1033,10.0
1034,7.0
1035,26.0
1036,5.0
1037,11.0
1038,16.0
1039,0.0
1040,15.0
1041,14.0
1042,5.0
1043,1.0
1044,14.0
1045,1.0
1046,1.0
1047,1.0
1048,1.0
1049,13.0
1050,7.0
1051,11.0
1052,11.0
1053,0.0
1054,23.0
1055,8.0
1056,3.0
1057,13.0
1058,23.0
1059,1.0
1060,15.0
1061,3.0
1062,6.0
1063,0.0
1064,0.0
1065,13.0
1066,0.0
1067,0.0
1068,2.0
1069,12.0
1070,0.0
1071,3.0
1072,0.0
1073,10.0
1074,2.0
1075,12.0
1076,20.0
1077,3.0
1078,0.0
1079,11.0
1080,2.0
1081,9.0
1082,12.0
1083,1.0
1084,5.0
1085,2.0
1086,6.0
1087,6.0
1088,5.0
1089,1.0
1090,17.0
1091,2.0
1092,8.0
1093,7.0
1094,0.0
1095,15.0
1096,14.0
1097,2.0
1098,0.0
1099,21.0
1100,1.0
1101,15.0
1102,17.0
1103,6.0
1104,10.0
1105,5.0
1106,6.0
1107,1.0
1108,0.0
1109,6.0
1110,12.0
1111,21.0
1112,5.0
1113,12.0
1114,0.0
1115,2.0
1116,11.0
1117,2.0
1118,0.0
1119,4.0
1120,12.0
1121,15.0
1122,5.0
1123,4.0
1124,9.0
1125,9.0
1126,1.0
1127,2.0
1128,5.0
1129,1.0
1130,0.0
1131,9.0
1132,6.0
1133,11.0
1134,16.0
1135,13.0
1136,0.0
1137,16.0
1138,13.0
1139,17.0
1140,10.0
1141,5.0
1142,3.0
1143,7.0
1144,12.0
1145,2.0
1146,1.0
1147,7.0
1148,2.0
1149,19.0
1150,8.0
1151,2.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,3.0
1158,2.0
1159,4.0
1160,0.0
1161,1.0
1162,5.0
1163,2.0
1164,0.0
1165,12.0
1166,1.0
1167,16.0
1168,2.0
1169,3.0
1170,0.0
1171,8.0
1172,6.0
1173,0.0
1174,0.0
1175,3.0
1176,5.0
1177,1.0
1178,5.0
1179,1.0
1180,3.0
1181,7.0
1182,0.0
1183,3.0
1184,1.0
1185,9.0
1186,9.0
1187,0.0
1188,6.0
1189,2.0
1190,7.0
1191,0.0
1192,5.0
1193,1.0
1194,1.0
1195,5.0
1196,6.0
1197,8.0
1198,9.0
1199,1.0
1200,16.0
1201,0.0
1202,1.0
1203,9.0
1204,4.0
1205,7.0
1206,0.0
1207,0.0
1208,1.0
1209,2.0
1210,0.0
1211,5.0
1212,0.0
1213,8.0
1214,0.0
1215,12.0
1216,7.0
1217,2.0
1218,0.0
1219,8.0
1220,9.0
1221,7.0
1222,12.0
1223,9.0
1224,0.0
1225,2.0
1226,0.0
1227,3.0
1228,3.0
1229,0.0
1230,6.0
1231,13.0
1232,0.0
1233,1.0
1234,10.0
1235,11.0
1236,0.0
1237,3.0
1238,8.0
1239,2.0
1240,13.0
1241,0.0
1242,14.0
1243,6.0
1244,1.0
1245,2.0
1246,1.0
1247,1.0
1248,5.0
1249,1.0
1250,12.0
1251,0.0
1252,4.0
1253,0.0
1254,0.0
1255,8.0
1256,0.0
1257,0.0
1258,0.0
1259,13.0
1260,1.0
1261,0.0
1262,8.0
1263,1.0
1264,1.0
1265,10.0
1266,0.0
1267,23.0
1268,1.0
1269,9.0
1270,0.0
1271,16.0
1272,8.0
1273,3.0
1274,4.0
1275,1.0
1276,5.0
1277,8.0
1278,10.0
1279,9.0
1280,5.0
1281,7.0
1282,2.0
1283,0.0
1284,12.0
1285,2.0
1286,2.0
1287,0.0
1288,5.0
1289,2.0
1290,0.0
1291,4.0
1292,1.0
1293,1.0
1294,3.0
1295,0.0
1296,0.0
1297,7.0
1298,2.0
1299,2.0
1300,7.0
