,Tyro3
532,14.0
533,9.0
534,10.0
535,0.0
536,13.0
537,5.0
538,4.0
539,3.0
540,2.0
541,0.0
542,4.0
543,0.0
544,20.0
545,13.0
546,20.0
547,0.0
548,1.0
549,0.0
550,11.0
551,5.0
552,12.0
553,10.0
554,14.0
555,10.0
556,8.0
557,7.0
558,2.0
559,1.0
560,2.0
561,23.0
562,16.0
563,17.0
564,4.0
565,14.0
566,0.0
567,2.0
568,0.0
569,8.0
570,1.0
571,5.0
572,1.0
573,1.0
574,21.0
575,11.0
576,4.0
577,13.0
578,15.0
579,0.0
580,0.0
581,10.0
582,7.0
583,11.0
584,1.0
585,5.0
586,2.0
587,11.0
588,0.0
589,1.0
590,4.0
591,14.0
592,4.0
593,21.0
594,14.0
595,4.0
596,0.0
597,2.0
598,3.0
599,13.0
600,6.0
601,6.0
602,18.0
603,27.0
604,3.0
605,17.0
606,1.0
607,0.0
608,1.0
609,1.0
610,1.0
611,5.0
612,8.0
613,4.0
614,6.0
615,7.0
616,0.0
617,2.0
618,1.0
619,18.0
620,2.0
621,2.0
622,16.0
623,0.0
624,15.0
625,5.0
626,0.0
627,0.0
628,8.0
629,0.0
630,0.0
631,4.0
632,25.0
633,0.0
634,1.0
635,7.0
636,2.0
637,15.0
638,0.0
639,7.0
640,3.0
641,1.0
642,0.0
643,1.0
644,8.0
645,6.0
646,2.0
647,0.0
648,1.0
649,0.0
650,14.0
651,1.0
652,0.0
653,17.0
654,1.0
655,1.0
656,5.0
657,12.0
658,0.0
659,1.0
660,5.0
661,3.0
662,4.0
663,9.0
664,20.0
665,2.0
666,21.0
667,0.0
668,7.0
669,8.0
670,1.0
671,0.0
672,11.0
673,4.0
674,0.0
675,0.0
676,14.0
677,0.0
678,11.0
679,6.0
680,6.0
681,6.0
682,30.0
683,0.0
684,3.0
685,10.0
686,0.0
687,0.0
688,13.0
689,1.0
690,6.0
691,1.0
692,0.0
693,8.0
694,0.0
695,11.0
696,8.0
697,1.0
698,5.0
699,0.0
700,9.0
701,6.0
702,0.0
703,0.0
704,17.0
705,6.0
706,19.0
707,0.0
708,18.0
709,10.0
710,1.0
711,4.0
712,13.0
713,2.0
714,0.0
715,6.0
716,16.0
717,16.0
718,13.0
719,4.0
720,17.0
721,0.0
722,0.0
723,12.0
724,0.0
725,6.0
726,8.0
727,0.0
728,3.0
729,0.0
730,1.0
731,0.0
732,0.0
733,2.0
734,1.0
735,6.0
736,9.0
737,1.0
738,0.0
739,6.0
740,0.0
741,9.0
742,11.0
743,7.0
744,1.0
745,0.0
746,1.0
747,0.0
748,7.0
749,1.0
750,0.0
751,5.0
752,0.0
753,1.0
754,0.0
755,0.0
756,1.0
757,0.0
758,0.0
759,4.0
760,1.0
761,0.0
762,5.0
763,3.0
764,0.0
765,0.0
766,0.0
767,2.0
768,7.0
769,2.0
770,0.0
771,12.0
772,15.0
773,0.0
774,5.0
775,8.0
776,1.0
777,2.0
778,1.0
779,0.0
780,9.0
781,0.0
782,0.0
783,1.0
784,0.0
785,6.0
786,1.0
787,1.0
788,0.0
789,1.0
790,17.0
791,8.0
792,6.0
793,4.0
794,0.0
795,0.0
796,0.0
797,0.0
798,5.0
799,8.0
800,0.0
801,4.0
802,11.0
803,4.0
804,0.0
805,0.0
806,5.0
807,7.0
808,0.0
809,11.0
810,11.0
811,8.0
812,0.0
813,0.0
814,8.0
815,2.0
816,8.0
817,0.0
818,0.0
819,0.0
820,0.0
821,3.0
822,7.0
823,0.0
824,1.0
825,1.0
826,24.0
827,0.0
828,0.0
829,12.0
830,13.0
831,0.0
832,0.0
833,0.0
834,2.0
835,3.0
836,1.0
837,0.0
838,2.0
839,1.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,6.0
849,1.0
850,5.0
851,1.0
852,3.0
853,7.0
854,5.0
855,0.0
856,1.0
857,1.0
858,0.0
859,0.0
860,0.0
861,1.0
862,11.0
863,1.0
864,0.0
865,2.0
866,0.0
867,2.0
868,0.0
869,0.0
870,0.0
871,3.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,1.0
878,0.0
879,0.0
880,9.0
881,0.0
882,7.0
883,0.0
884,3.0
885,0.0
886,1.0
887,0.0
888,0.0
889,0.0
890,2.0
891,0.0
892,0.0
893,1.0
894,1.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,1.0
901,0.0
902,1.0
903,0.0
904,0.0
905,0.0
906,0.0
907,2.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,1.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,2.0
925,1.0
926,0.0
927,0.0
928,0.0
929,1.0
930,3.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,4.0
938,1.0
939,8.0
940,3.0
941,2.0
942,27.0
943,0.0
944,11.0
945,9.0
946,1.0
947,0.0
948,0.0
949,0.0
950,0.0
951,4.0
952,0.0
953,0.0
954,1.0
955,0.0
956,12.0
957,0.0
958,1.0
959,10.0
960,17.0
961,1.0
962,0.0
963,0.0
964,18.0
965,7.0
966,0.0
967,5.0
968,4.0
969,17.0
970,27.0
971,1.0
972,16.0
973,0.0
974,10.0
975,3.0
976,23.0
977,13.0
978,3.0
979,10.0
980,6.0
981,2.0
982,14.0
983,4.0
984,3.0
985,10.0
986,1.0
987,3.0
988,13.0
989,3.0
990,1.0
991,2.0
992,9.0
993,2.0
994,0.0
995,1.0
996,0.0
997,0.0
998,1.0
999,6.0
1000,0.0
1001,5.0
1002,2.0
1003,6.0
1004,6.0
1005,1.0
1006,12.0
1007,27.0
1008,17.0
1009,6.0
1010,18.0
1011,14.0
1012,24.0
1013,3.0
1014,4.0
1015,7.0
1016,0.0
1017,0.0
1018,0.0
1019,9.0
1020,12.0
1021,11.0
1022,3.0
1023,6.0
1024,1.0
1025,6.0
1026,6.0
1027,0.0
1028,2.0
1029,0.0
1030,18.0
1031,6.0
1032,0.0
1033,9.0
1034,5.0
1035,31.0
1036,7.0
1037,15.0
1038,19.0
1039,2.0
1040,14.0
1041,13.0
1042,7.0
1043,3.0
1044,12.0
1045,12.0
1046,2.0
1047,2.0
1048,3.0
1049,14.0
1050,7.0
1051,12.0
1052,11.0
1053,0.0
1054,22.0
1055,17.0
1056,0.0
1057,24.0
1058,11.0
1059,4.0
1060,14.0
1061,1.0
1062,4.0
1063,1.0
1064,0.0
1065,16.0
1066,0.0
1067,0.0
1068,4.0
1069,9.0
1070,1.0
1071,3.0
1072,0.0
1073,7.0
1074,2.0
1075,6.0
1076,12.0
1077,8.0
1078,3.0
1079,16.0
1080,1.0
1081,2.0
1082,13.0
1083,3.0
1084,12.0
1085,2.0
1086,6.0
1087,1.0
1088,3.0
1089,9.0
1090,5.0
1091,0.0
1092,12.0
1093,6.0
1094,0.0
1095,30.0
1096,10.0
1097,0.0
1098,2.0
1099,12.0
1100,0.0
1101,10.0
1102,20.0
1103,7.0
1104,17.0
1105,6.0
1106,1.0
1107,3.0
1108,1.0
1109,7.0
1110,18.0
1111,15.0
1112,4.0
1113,11.0
1114,0.0
1115,2.0
1116,10.0
1117,5.0
1118,0.0
1119,6.0
1120,12.0
1121,13.0
1122,9.0
1123,2.0
1124,18.0
1125,4.0
1126,2.0
1127,4.0
1128,9.0
1129,2.0
1130,4.0
1131,1.0
1132,10.0
1133,12.0
1134,11.0
1135,11.0
1136,2.0
1137,5.0
1138,27.0
1139,16.0
1140,8.0
1141,7.0
1142,6.0
1143,2.0
1144,15.0
1145,0.0
1146,0.0
1147,3.0
1148,0.0
1149,11.0
1150,2.0
1151,1.0
1152,0.0
1153,0.0
1154,3.0
1155,1.0
1156,0.0
1157,4.0
1158,2.0
1159,0.0
1160,1.0
1161,5.0
1162,12.0
1163,10.0
1164,0.0
1165,1.0
1166,1.0
1167,13.0
1168,11.0
1169,9.0
1170,4.0
1171,1.0
1172,3.0
1173,0.0
1174,0.0
1175,7.0
1176,7.0
1177,0.0
1178,0.0
1179,1.0
1180,5.0
1181,8.0
1182,1.0
1183,6.0
1184,1.0
1185,9.0
1186,16.0
1187,2.0
1188,10.0
1189,9.0
1190,10.0
1191,1.0
1192,1.0
1193,5.0
1194,7.0
1195,9.0
1196,7.0
1197,12.0
1198,0.0
1199,1.0
1200,10.0
1201,1.0
1202,3.0
1203,16.0
1204,10.0
1205,1.0
1206,0.0
1207,3.0
1208,2.0
1209,2.0
1210,1.0
1211,6.0
1212,2.0
1213,16.0
1214,0.0
1215,2.0
1216,3.0
1217,4.0
1218,0.0
1219,12.0
1220,5.0
1221,2.0
1222,12.0
1223,8.0
1224,1.0
1225,0.0
1226,5.0
1227,10.0
1228,6.0
1229,0.0
1230,11.0
1231,6.0
1232,1.0
1233,1.0
1234,17.0
1235,9.0
1236,0.0
1237,5.0
1238,16.0
1239,10.0
1240,4.0
1241,0.0
1242,17.0
1243,0.0
1244,1.0
1245,6.0
1246,5.0
1247,6.0
1248,5.0
1249,3.0
1250,11.0
1251,8.0
1252,2.0
1253,0.0
1254,3.0
1255,6.0
1256,1.0
1257,0.0
1258,0.0
1259,14.0
1260,4.0
1261,3.0
1262,9.0
1263,4.0
1264,1.0
1265,10.0
1266,0.0
1267,13.0
1268,1.0
1269,9.0
1270,3.0
1271,15.0
1272,19.0
1273,5.0
1274,11.0
1275,0.0
1276,1.0
1277,11.0
1278,13.0
1279,12.0
1280,1.0
1281,10.0
1282,1.0
1283,3.0
1284,12.0
1285,6.0
1286,5.0
1287,0.0
1288,1.0
1289,1.0
1290,0.0
1291,7.0
1292,0.0
1293,1.0
1294,1.0
1295,0.0
1296,0.0
1297,12.0
1298,10.0
1299,3.0
1300,9.0
1301,1.0
1302,5.0
1303,4.0
1304,7.0
1305,0.0
1306,6.0
1307,1.0
1308,0.0
1309,18.0
1310,4.0
1311,12.0
1312,9.0
1313,7.0
1314,16.0
1315,1.0
1316,3.0
1317,1.0
1318,0.0
1319,2.0
1320,16.0
1321,11.0
1322,4.0
1323,12.0
1324,0.0
1325,5.0
1326,3.0
1327,1.0
1328,4.0
1329,12.0
1330,11.0
1331,4.0
1332,18.0
1333,3.0
1334,4.0
1335,22.0
1336,1.0
1337,14.0
1338,0.0
1339,5.0
1340,5.0
1341,6.0
1342,5.0
1343,0.0
1344,1.0
1345,1.0
1346,9.0
1347,3.0
1348,0.0
1349,2.0
1350,7.0
1351,0.0
1352,7.0
1353,7.0
1354,13.0
1355,3.0
1356,0.0
1357,3.0
1358,6.0
1359,4.0
1360,16.0
1361,11.0
1362,5.0
1363,1.0
1364,4.0
1365,8.0
1366,7.0
1367,9.0
1368,10.0
1369,17.0
1370,5.0
1371,18.0
1372,1.0
1373,8.0
1374,5.0
1375,6.0
1376,11.0
1377,15.0
1378,0.0
1379,0.0
1380,14.0
1381,0.0
1382,6.0
1383,2.0
1384,2.0
1385,1.0
1386,2.0
1387,3.0
1388,2.0
1389,0.0
1390,0.0
1391,8.0
1392,9.0
1393,2.0
1394,8.0
1395,0.0
1396,0.0
1397,10.0
1398,8.0
1399,5.0
1400,0.0
1401,6.0
1402,2.0
1403,0.0
1404,2.0
1405,4.0
1406,1.0
1407,6.0
1408,2.0
1409,2.0
1410,6.0
1411,17.0
1412,1.0
1413,10.0
1414,6.0
1415,1.0
1416,7.0
1417,15.0
1418,1.0
1419,2.0
1420,11.0
1421,14.0
1422,8.0
1423,6.0
1424,9.0
1425,21.0
1426,2.0
1427,8.0
1428,0.0
1429,4.0
1430,8.0
1431,7.0
1432,0.0
1433,2.0
1434,0.0
1435,16.0
1436,0.0
1437,0.0
1438,5.0
1439,1.0
1440,5.0
1441,11.0
1442,11.0
1443,1.0
1444,7.0
1445,4.0
1446,6.0
1447,0.0
1448,0.0
1449,8.0
1450,9.0
1451,3.0
1452,30.0
1453,1.0
1454,8.0
1455,6.0
1456,0.0
1457,5.0
1458,5.0
1459,9.0
1460,18.0
1461,9.0
1462,0.0
1463,1.0
1464,2.0
1465,7.0
1466,10.0
1467,9.0
1468,0.0
1469,3.0
1470,9.0
1471,8.0
1472,2.0
1473,6.0
1474,8.0
1475,0.0
1476,11.0
1477,6.0
1478,3.0
1479,5.0
1480,1.0
1481,4.0
1482,2.0
1483,22.0
1484,0.0
1485,16.0
1486,13.0
1487,17.0
1488,4.0
1489,0.0
1490,8.0
1491,9.0
1492,0.0
1493,5.0
1494,9.0
1495,6.0
1496,1.0
1497,15.0
1498,0.0
1499,5.0
1500,0.0
1501,0.0
1502,1.0
1503,1.0
1504,6.0
1505,6.0
1506,19.0
1507,0.0
1508,10.0
1509,0.0
1510,2.0
1511,9.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,19.0
1517,1.0
1518,1.0
1519,5.0
1520,2.0
1521,0.0
1522,0.0
1523,8.0
1524,14.0
1525,0.0
1526,14.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,12.0
1532,5.0
1533,1.0
1534,0.0
1535,1.0
1536,0.0
1537,0.0
1538,5.0
1539,26.0
1540,7.0
1541,0.0
1542,2.0
1543,3.0
1544,7.0
1545,0.0
1546,9.0
1547,7.0
1548,12.0
1549,5.0
1550,13.0
1551,1.0
1552,8.0
1553,0.0
1554,12.0
1555,3.0
1556,10.0
1557,2.0
1558,1.0
1559,2.0
1560,13.0
1561,7.0
1562,5.0
1563,7.0
1564,9.0
1565,15.0
1566,13.0
1567,7.0
1568,3.0
1569,7.0
1570,11.0
1571,0.0
1572,6.0
1573,5.0
1574,5.0
1575,3.0
1576,9.0
1577,4.0
1578,17.0
1579,2.0
1580,4.0
1581,0.0
1582,2.0
1583,12.0
1584,16.0
1585,1.0
1586,0.0
1587,0.0
1588,18.0
1589,6.0
1590,1.0
1591,0.0
1592,3.0
1593,9.0
1594,13.0
1595,16.0
1596,2.0
1597,1.0
1598,7.0
1599,13.0
1600,23.0
1601,0.0
1602,1.0
1603,7.0
1604,2.0
1605,0.0
1606,10.0
1607,3.0
1608,7.0
1609,23.0
1610,4.0
1611,5.0
1612,10.0
1613,0.0
1614,9.0
1615,21.0
1616,0.0
1617,1.0
1618,14.0
1619,1.0
1620,0.0
1621,2.0
1622,7.0
1623,0.0
1624,6.0
1625,3.0
1626,0.0
1627,0.0
1628,3.0
1629,1.0
1630,8.0
1631,2.0
1632,16.0
1633,0.0
1634,7.0
1635,12.0
1636,0.0
1637,8.0
1638,4.0
1639,12.0
1640,11.0
1641,2.0
1642,4.0
1643,18.0
1644,10.0
1645,6.0
1646,2.0
1647,9.0
1648,0.0
1649,1.0
1650,21.0
1651,13.0
1652,18.0
1653,3.0
1654,3.0
1655,3.0
1656,2.0
1657,9.0
1658,8.0
1659,11.0
1660,11.0
1661,8.0
1662,27.0
1663,1.0
1664,4.0
1665,8.0
1666,10.0
1667,1.0
1668,0.0
1669,14.0
1670,25.0
1671,16.0
1672,3.0
1673,11.0
1674,0.0
1675,0.0
1676,15.0
1677,13.0
1678,7.0
1679,3.0
1680,18.0
1681,14.0
1682,0.0
1683,0.0
1684,1.0
1685,5.0
1686,3.0
1687,14.0
1688,0.0
1689,18.0
1690,6.0
1691,5.0
1692,1.0
1693,0.0
1694,1.0
1695,4.0
1696,14.0
1697,13.0
1698,2.0
1699,6.0
1700,6.0
1701,1.0
1702,22.0
1703,6.0
1704,5.0
1705,0.0
1706,8.0
1707,6.0
1708,13.0
1709,0.0
1710,5.0
1711,0.0
1712,5.0
1713,1.0
1714,0.0
1715,6.0
1716,9.0
1717,1.0
1718,3.0
1719,8.0
1720,2.0
1721,11.0
1722,1.0
1723,5.0
1724,8.0
1725,12.0
1726,8.0
1727,2.0
1728,3.0
1729,3.0
1730,21.0
1731,0.0
1732,6.0
1733,3.0
1734,8.0
1735,0.0
1736,14.0
1737,3.0
1738,10.0
1739,11.0
1740,4.0
1741,1.0
1742,4.0
1743,13.0
1744,16.0
1745,7.0
1746,0.0
1747,0.0
1748,0.0
1749,15.0
1750,3.0
1751,1.0
1752,10.0
1753,27.0
1754,1.0
1755,10.0
1756,3.0
1757,0.0
1758,20.0
1759,0.0
1760,1.0
1761,4.0
1762,8.0
1763,20.0
1764,0.0
1765,5.0
1766,5.0
1767,2.0
1768,5.0
1769,10.0
1770,3.0
1771,5.0
1772,7.0
1773,2.0
1774,7.0
1775,5.0
1776,5.0
1777,0.0
1778,4.0
1779,10.0
1780,0.0
1781,9.0
1782,3.0
1783,11.0
1784,8.0
1785,7.0
1786,10.0
1787,9.0
1788,3.0
1789,15.0
1790,13.0
1791,0.0
1792,5.0
1793,8.0
1794,5.0
1795,0.0
1796,6.0
1797,0.0
1798,4.0
1799,11.0
1800,21.0
1801,10.0
1802,0.0
1803,8.0
1804,6.0
1805,18.0
1806,6.0
1807,10.0
1808,14.0
1809,4.0
1810,2.0
1811,0.0
1812,0.0
1813,0.0
1814,9.0
1815,5.0
1816,0.0
1817,0.0
1818,6.0
1819,0.0
1820,2.0
1821,0.0
1822,15.0
1823,1.0
1824,0.0
1825,7.0
1826,0.0
1827,3.0
1828,7.0
1829,4.0
1830,1.0
1831,1.0
1832,0.0
1833,9.0
1834,0.0
1835,12.0
1836,1.0
1837,0.0
1838,0.0
1839,10.0
1840,1.0
1841,0.0
1842,0.0
1843,1.0
1844,22.0
1845,0.0
1846,1.0
1847,4.0
1848,0.0
1849,1.0
1850,9.0
1851,8.0
1852,25.0
1853,0.0
1854,0.0
1855,6.0
1856,1.0
1857,0.0
1858,4.0
1859,7.0
1860,0.0
1861,0.0
1862,7.0
1863,2.0
1864,0.0
1865,16.0
1866,29.0
1867,11.0
1868,6.0
1869,5.0
1870,3.0
1871,8.0
1872,1.0
1873,11.0
1874,5.0
1875,7.0
1876,4.0
1877,4.0
1878,2.0
1879,14.0
1880,12.0
1881,3.0
1882,5.0
1883,11.0
1884,11.0
1885,2.0
1886,10.0
1887,7.0
1888,8.0
1889,0.0
1890,0.0
1891,12.0
1892,18.0
1893,9.0
1894,2.0
