,Grm5
532,15.0
533,25.0
534,5.0
535,2.0
536,11.0
537,18.0
538,6.0
539,12.0
540,4.0
541,0.0
542,16.0
543,1.0
544,10.0
545,20.0
546,20.0
547,0.0
548,0.0
549,1.0
550,25.0
551,10.0
552,12.0
553,23.0
554,20.0
555,14.0
556,14.0
557,3.0
558,1.0
559,0.0
560,0.0
561,24.0
562,24.0
563,8.0
564,6.0
565,16.0
566,0.0
567,7.0
568,0.0
569,3.0
570,1.0
571,11.0
572,0.0
573,0.0
574,20.0
575,14.0
576,4.0
577,18.0
578,26.0
579,0.0
580,0.0
581,2.0
582,10.0
583,9.0
584,0.0
585,0.0
586,2.0
587,17.0
588,0.0
589,0.0
590,4.0
591,20.0
592,4.0
593,15.0
594,10.0
595,6.0
596,5.0
597,5.0
598,2.0
599,17.0
600,6.0
601,17.0
602,20.0
603,19.0
604,10.0
605,13.0
606,0.0
607,0.0
608,6.0
609,0.0
610,6.0
611,13.0
612,12.0
613,4.0
614,12.0
615,5.0
616,0.0
617,4.0
618,0.0
619,15.0
620,2.0
621,6.0
622,22.0
623,0.0
624,17.0
625,8.0
626,5.0
627,20.0
628,10.0
629,1.0
630,0.0
631,9.0
632,17.0
633,0.0
634,0.0
635,14.0
636,6.0
637,17.0
638,0.0
639,14.0
640,11.0
641,20.0
642,0.0
643,12.0
644,18.0
645,8.0
646,1.0
647,0.0
648,0.0
649,0.0
650,17.0
651,3.0
652,2.0
653,20.0
654,0.0
655,3.0
656,12.0
657,14.0
658,6.0
659,1.0
660,11.0
661,3.0
662,3.0
663,16.0
664,29.0
665,1.0
666,11.0
667,0.0
668,7.0
669,10.0
670,2.0
671,2.0
672,11.0
673,12.0
674,1.0
675,0.0
676,12.0
677,1.0
678,21.0
679,5.0
680,10.0
681,12.0
682,24.0
683,0.0
684,1.0
685,10.0
686,0.0
687,0.0
688,20.0
689,5.0
690,8.0
691,0.0
692,1.0
693,10.0
694,0.0
695,13.0
696,10.0
697,14.0
698,8.0
699,0.0
700,8.0
701,4.0
702,0.0
703,0.0
704,20.0
705,9.0
706,18.0
707,0.0
708,21.0
709,11.0
710,1.0
711,14.0
712,17.0
713,2.0
714,0.0
715,2.0
716,9.0
717,24.0
718,16.0
719,11.0
720,14.0
721,0.0
722,0.0
723,23.0
724,0.0
725,11.0
726,11.0
727,22.0
728,18.0
729,1.0
730,0.0
731,0.0
732,1.0
733,7.0
734,19.0
735,6.0
736,22.0
737,5.0
738,0.0
739,14.0
740,0.0
741,16.0
742,11.0
743,22.0
744,1.0
745,0.0
746,1.0
747,0.0
748,7.0
749,7.0
750,0.0
751,16.0
752,0.0
753,1.0
754,0.0
755,0.0
756,3.0
757,0.0
758,0.0
759,12.0
760,6.0
761,0.0
762,16.0
763,0.0
764,3.0
765,1.0
766,2.0
767,1.0
768,8.0
769,3.0
770,0.0
771,15.0
772,0.0
773,0.0
774,5.0
775,11.0
776,2.0
777,3.0
778,7.0
779,0.0
780,15.0
781,3.0
782,10.0
783,18.0
784,5.0
785,3.0
786,4.0
787,3.0
788,4.0
789,3.0
790,19.0
791,14.0
792,22.0
793,9.0
794,5.0
795,0.0
796,0.0
797,0.0
798,17.0
799,12.0
800,0.0
801,11.0
802,15.0
803,11.0
804,10.0
805,1.0
806,12.0
807,24.0
808,0.0
809,17.0
810,9.0
811,6.0
812,0.0
813,1.0
814,10.0
815,0.0
816,10.0
817,0.0
818,0.0
819,0.0
820,1.0
821,5.0
822,25.0
823,0.0
824,6.0
825,2.0
826,26.0
827,0.0
828,0.0
829,28.0
830,22.0
831,0.0
832,0.0
833,0.0
834,14.0
835,7.0
836,0.0
837,0.0
838,6.0
839,3.0
840,0.0
841,0.0
842,0.0
843,1.0
844,2.0
845,0.0
846,0.0
847,1.0
848,12.0
849,2.0
850,6.0
851,0.0
852,5.0
853,18.0
