,Lmtk2
532,14.0
533,25.0
534,6.0
535,0.0
536,15.0
537,8.0
538,8.0
539,3.0
540,3.0
541,0.0
542,14.0
543,1.0
544,18.0
545,14.0
546,24.0
547,0.0
548,0.0
549,0.0
550,12.0
551,6.0
552,12.0
553,11.0
554,29.0
555,16.0
556,7.0
557,13.0
558,2.0
559,0.0
560,4.0
561,24.0
562,21.0
563,28.0
564,7.0
565,13.0
566,0.0
567,2.0
568,2.0
569,1.0
570,2.0
571,5.0
572,1.0
573,2.0
574,21.0
575,10.0
576,15.0
577,5.0
578,14.0
579,0.0
580,0.0
581,0.0
582,11.0
583,7.0
584,2.0
585,3.0
586,5.0
587,17.0
588,1.0
589,2.0
590,6.0
591,19.0
592,11.0
593,19.0
594,13.0
595,10.0
596,1.0
597,3.0
598,8.0
599,28.0
600,13.0
601,13.0
602,29.0
603,13.0
604,7.0
605,18.0
606,2.0
607,1.0
608,2.0
609,0.0
610,2.0
611,6.0
612,5.0
613,6.0
614,13.0
615,6.0
616,2.0
617,2.0
618,0.0
619,30.0
620,4.0
621,14.0
622,17.0
623,0.0
624,13.0
625,7.0
626,7.0
627,4.0
628,13.0
629,0.0
630,1.0
631,6.0
632,9.0
633,1.0
634,3.0
635,18.0
636,1.0
637,9.0
638,0.0
639,14.0
640,8.0
641,8.0
642,0.0
643,6.0
644,24.0
645,5.0
646,0.0
647,0.0
648,0.0
649,0.0
650,17.0
651,0.0
652,2.0
653,20.0
654,0.0
655,3.0
656,12.0
657,17.0
658,6.0
659,2.0
660,6.0
661,3.0
662,8.0
663,6.0
664,23.0
665,7.0
666,13.0
667,0.0
668,8.0
669,9.0
670,5.0
671,0.0
672,14.0
673,10.0
674,0.0
675,0.0
676,13.0
677,1.0
678,13.0
679,10.0
680,8.0
681,9.0
682,24.0
683,3.0
684,6.0
685,12.0
686,0.0
687,0.0
688,9.0
689,1.0
690,6.0
691,0.0
692,4.0
693,9.0
694,1.0
695,13.0
696,11.0
697,7.0
698,6.0
699,0.0
700,9.0
701,4.0
702,1.0
703,0.0
704,13.0
705,14.0
706,16.0
707,0.0
708,18.0
709,12.0
710,2.0
711,6.0
712,16.0
713,1.0
714,1.0
715,5.0
716,19.0
717,13.0
718,15.0
719,10.0
720,24.0
721,0.0
722,0.0
723,16.0
724,0.0
725,7.0
726,8.0
727,11.0
728,10.0
729,0.0
730,1.0
731,0.0
732,3.0
733,5.0
734,7.0
735,11.0
736,13.0
737,2.0
738,0.0
739,12.0
740,0.0
741,11.0
742,8.0
743,8.0
744,1.0
745,2.0
746,0.0
747,0.0
748,5.0
749,13.0
750,1.0
751,14.0
752,0.0
753,1.0
754,0.0
755,1.0
756,2.0
757,0.0
758,0.0
759,14.0
760,2.0
761,2.0
762,7.0
763,1.0
764,6.0
765,1.0
766,4.0
767,3.0
768,7.0
769,1.0
770,0.0
771,15.0
772,1.0
773,0.0
774,8.0
775,4.0
776,1.0
777,3.0
778,4.0
779,1.0
780,18.0
781,5.0
782,12.0
783,13.0
784,1.0
785,2.0
786,1.0
787,1.0
788,2.0
789,1.0
790,15.0
791,10.0
792,15.0
793,4.0
794,2.0
795,0.0
796,0.0
797,0.0
798,13.0
799,7.0
800,0.0
801,13.0
802,14.0
803,11.0
804,7.0
805,2.0
806,16.0
807,13.0
808,1.0
809,15.0
810,6.0
811,7.0
812,0.0
813,1.0
814,11.0
815,4.0
816,11.0
817,0.0
818,0.0
819,0.0
820,0.0
821,3.0
822,20.0
823,1.0
824,4.0
825,2.0
826,32.0
827,0.0
828,1.0
829,17.0
830,31.0
831,0.0
832,1.0
833,0.0
834,8.0
835,4.0
836,1.0
837,1.0
838,3.0
839,3.0
840,0.0
841,0.0
842,0.0
843,0.0
844,2.0
845,2.0
846,0.0
847,1.0
848,5.0
849,5.0
850,6.0
851,1.0
852,1.0
853,12.0
854,14.0
855,6.0
856,1.0
857,0.0
858,1.0
859,0.0
860,1.0
861,0.0
862,11.0
863,5.0
864,0.0
865,4.0
866,1.0
867,0.0
868,0.0
869,1.0
870,0.0
871,0.0
872,1.0
873,0.0
874,0.0
875,0.0
876,2.0
877,0.0
878,0.0
879,0.0
880,15.0
881,0.0
882,8.0
883,0.0
884,0.0
885,2.0
886,0.0
887,0.0
888,0.0
889,0.0
890,8.0
891,0.0
892,0.0
893,0.0
894,0.0
895,2.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,1.0
903,0.0
904,1.0
905,0.0
906,1.0
907,2.0
908,0.0
909,1.0
910,0.0
911,0.0
912,0.0
913,3.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,2.0
923,0.0
924,1.0
925,0.0
926,0.0
927,0.0
928,2.0
929,0.0
930,4.0
931,1.0
932,2.0
933,0.0
934,0.0
935,0.0
936,1.0
937,4.0
938,6.0
939,15.0
940,4.0
941,5.0
942,18.0
943,0.0
944,16.0
945,14.0
946,1.0
947,6.0
948,0.0
949,0.0
950,1.0
951,13.0
952,1.0
953,1.0
954,1.0
955,0.0
956,17.0
957,2.0
958,9.0
959,8.0
960,16.0
961,1.0
962,0.0
963,1.0
964,24.0
965,17.0
966,1.0
967,4.0
968,11.0
969,26.0
970,21.0
971,0.0
972,41.0
973,1.0
974,8.0
975,3.0
976,17.0
977,12.0
978,2.0
979,19.0
980,8.0
981,1.0
982,14.0
983,8.0
984,6.0
985,7.0
986,2.0
987,4.0
988,12.0
989,4.0
990,1.0
991,2.0
992,15.0
993,3.0
994,0.0
995,1.0
996,0.0
997,2.0
998,0.0
999,11.0
1000,2.0
1001,6.0
1002,6.0
1003,2.0
1004,12.0
1005,0.0
1006,15.0
1007,29.0
1008,16.0
1009,17.0
1010,23.0
1011,20.0
1012,26.0
1013,3.0
1014,9.0
1015,14.0
1016,5.0
1017,0.0
1018,1.0
1019,15.0
1020,9.0
1021,14.0
1022,3.0
1023,6.0
1024,6.0
1025,8.0
1026,12.0
1027,0.0
1028,4.0
1029,1.0
1030,23.0
1031,18.0
1032,0.0
1033,21.0
1034,16.0
1035,27.0
1036,11.0
1037,25.0
1038,23.0
1039,1.0
1040,18.0
1041,15.0
1042,11.0
1043,2.0
1044,15.0
1045,3.0
1046,1.0
1047,3.0
1048,5.0
1049,24.0
1050,21.0
1051,14.0
1052,20.0
1053,19.0
1054,19.0
1055,11.0
1056,4.0
1057,16.0
1058,23.0
1059,7.0
1060,24.0
1061,5.0
1062,12.0
1063,1.0
1064,0.0
1065,20.0
1066,1.0
1067,0.0
1068,5.0
1069,9.0
1070,2.0
1071,10.0
1072,0.0
1073,16.0
1074,12.0
1075,7.0
1076,13.0
1077,10.0
1078,4.0
1079,20.0
1080,1.0
1081,9.0
1082,18.0
1083,6.0
1084,27.0
1085,4.0
1086,19.0
1087,1.0
1088,10.0
1089,11.0
1090,10.0
1091,0.0
1092,25.0
1093,23.0
1094,0.0
1095,28.0
1096,17.0
1097,1.0
1098,2.0
1099,13.0
1100,0.0
1101,25.0
1102,30.0
1103,6.0
1104,20.0
1105,3.0
1106,9.0
1107,12.0
1108,2.0
1109,24.0
1110,21.0
1111,23.0
1112,11.0
1113,5.0
1114,0.0
1115,1.0
1116,13.0
1117,3.0
1118,2.0
1119,11.0
1120,29.0
1121,8.0
1122,16.0
1123,4.0
1124,21.0
1125,1.0
1126,6.0
1127,3.0
1128,7.0
1129,1.0
1130,5.0
1131,11.0
1132,9.0
1133,20.0
1134,10.0
1135,20.0
1136,2.0
1137,16.0
1138,30.0
1139,24.0
1140,7.0
1141,12.0
1142,10.0
1143,1.0
1144,31.0
1145,1.0
1146,0.0
1147,4.0
1148,2.0
1149,27.0
1150,4.0
1151,3.0
1152,2.0
1153,0.0
1154,8.0
1155,2.0
1156,1.0
1157,5.0
1158,1.0
1159,5.0
1160,0.0
1161,4.0
1162,31.0
1163,17.0
1164,1.0
1165,14.0
1166,3.0
1167,25.0
1168,22.0
1169,7.0
1170,18.0
1171,4.0
1172,7.0
1173,1.0
1174,1.0
1175,14.0
1176,17.0
1177,3.0
1178,2.0
1179,8.0
1180,12.0
1181,7.0
1182,0.0
1183,16.0
1184,2.0
1185,24.0
1186,17.0
1187,8.0
1188,12.0
1189,13.0
1190,11.0
1191,4.0
