,Gabbr1
0,2.0
1,1.0
2,2.0
3,2.0
4,3.0
5,3.0
6,8.0
7,7.0
8,6.0
9,2.0
10,1.0
11,0.0
12,1.0
13,1.0
14,10.0
15,1.0
16,6.0
17,1.0
18,0.0
19,8.0
20,1.0
21,1.0
22,6.0
23,0.0
24,11.0
25,0.0
26,6.0
27,1.0
28,5.0
29,12.0
30,1.0
31,5.0
32,2.0
33,1.0
34,8.0
35,4.0
36,9.0
37,3.0
38,1.0
39,11.0
40,3.0
41,4.0
42,4.0
43,0.0
44,4.0
45,3.0
46,4.0
47,3.0
48,1.0
49,3.0
50,6.0
51,1.0
52,1.0
53,1.0
54,7.0
55,4.0
56,8.0
57,1.0
58,3.0
59,9.0
60,5.0
61,1.0
62,3.0
63,1.0
64,21.0
65,13.0
66,2.0
67,7.0
68,3.0
69,4.0
70,1.0
71,3.0
72,3.0
73,1.0
74,20.0
75,2.0
76,5.0
77,4.0
78,1.0
79,7.0
80,8.0
81,4.0
82,4.0
83,2.0
84,12.0
85,1.0
86,0.0
87,7.0
88,10.0
89,16.0
90,1.0
91,4.0
92,3.0
93,2.0
94,0.0
95,8.0
96,6.0
97,1.0
98,4.0
99,1.0
100,2.0
101,0.0
102,3.0
103,27.0
104,5.0
105,0.0
106,0.0
107,9.0
108,2.0
109,1.0
110,5.0
111,2.0
112,5.0
113,3.0
114,11.0
115,4.0
116,2.0
117,22.0
118,2.0
119,4.0
120,3.0
121,6.0
122,2.0
123,1.0
124,3.0
125,3.0
126,0.0
127,21.0
128,2.0
129,2.0
130,0.0
131,1.0
132,2.0
133,0.0
134,25.0
135,10.0
136,1.0
137,1.0
138,3.0
139,1.0
140,8.0
141,49.0
142,27.0
143,31.0
144,1.0
145,37.0
146,17.0
147,2.0
148,5.0
149,3.0
150,25.0
151,6.0
152,2.0
153,29.0
154,4.0
155,38.0
156,24.0
157,15.0
158,13.0
159,22.0
160,8.0
161,2.0
162,8.0
163,6.0
164,0.0
165,21.0
166,1.0
167,4.0
168,50.0
169,1.0
170,21.0
171,7.0
172,4.0
173,32.0
174,30.0
175,6.0
176,22.0
177,1.0
178,1.0
179,22.0
180,10.0
181,29.0
182,6.0
183,2.0
184,27.0
185,9.0
186,31.0
187,2.0
188,35.0
189,2.0
190,0.0
191,1.0
192,1.0
193,39.0
194,22.0
195,6.0
196,4.0
197,7.0
198,4.0
199,13.0
200,9.0
201,7.0
202,6.0
203,60.0
204,2.0
205,2.0
206,15.0
207,36.0
208,22.0
209,5.0
210,5.0
211,31.0
212,8.0
213,12.0
214,1.0
215,4.0
216,1.0
217,7.0
218,32.0
219,4.0
220,24.0
221,7.0
222,28.0
223,3.0
224,4.0
225,17.0
226,2.0
227,6.0
228,19.0
229,14.0
230,0.0
231,48.0
232,25.0
233,40.0
234,14.0
235,12.0
236,9.0
237,8.0
238,46.0
239,6.0
240,36.0
241,4.0
242,20.0
243,2.0
244,21.0
245,5.0
246,0.0
247,6.0
248,8.0
249,32.0
250,1.0
251,30.0
252,6.0
253,2.0
254,2.0
255,14.0
256,0.0
257,9.0
258,14.0
259,8.0
260,19.0
261,19.0
262,46.0
263,2.0
264,16.0
265,8.0
266,22.0
267,13.0
268,14.0
269,13.0
270,0.0
271,4.0
272,8.0
273,19.0
274,28.0
275,25.0
276,7.0
277,32.0
278,22.0
279,24.0
280,37.0
281,9.0
282,26.0
283,20.0
284,25.0
285,23.0
286,5.0
287,3.0
288,5.0
289,17.0
290,4.0
291,5.0
292,19.0
293,26.0
294,17.0
295,34.0
296,6.0
297,4.0
298,4.0
299,0.0
300,2.0
301,31.0
302,2.0
303,24.0
304,2.0
305,5.0
306,23.0
307,13.0
308,8.0
309,0.0
310,35.0
311,18.0
312,36.0
313,0.0
314,57.0
315,12.0
316,5.0
317,13.0
318,38.0
319,8.0
320,20.0
321,44.0
322,9.0
323,13.0
324,1.0
325,5.0
326,23.0
327,2.0
328,1.0
329,4.0
330,17.0
331,17.0
332,8.0
333,18.0
334,20.0
335,6.0
336,4.0
337,3.0
338,22.0
339,10.0
340,23.0
341,30.0
342,3.0
343,13.0
344,0.0
345,11.0
346,2.0
347,4.0
348,1.0
349,10.0
350,2.0
351,3.0
352,26.0
353,19.0
354,1.0
355,55.0
356,16.0
357,34.0
358,15.0
359,22.0
360,23.0
361,27.0
362,16.0
363,53.0
364,0.0
365,42.0
366,2.0
367,19.0
368,29.0
369,15.0
370,1.0
371,35.0
372,3.0
373,13.0
374,23.0
375,5.0
376,27.0
377,50.0
378,27.0
379,30.0
380,11.0
381,36.0
382,6.0
383,6.0
384,16.0
385,4.0
386,38.0
387,3.0
388,2.0
389,7.0
390,4.0
391,0.0
392,1.0
393,0.0
394,30.0
395,22.0
396,2.0
397,38.0
398,1.0
399,26.0
400,33.0
401,1.0
402,27.0
403,2.0
404,24.0
405,2.0
406,23.0
407,14.0
408,24.0
409,4.0
410,1.0
411,8.0
412,5.0
413,4.0
414,30.0
415,15.0
416,6.0
417,11.0
418,6.0
419,1.0
420,12.0
421,15.0
422,14.0
423,6.0
424,10.0
425,1.0
426,31.0
427,3.0
428,9.0
429,23.0
430,2.0
431,36.0
432,12.0
433,19.0
434,44.0
435,3.0
436,23.0
437,10.0
438,22.0
439,3.0
440,21.0
441,21.0
442,0.0
443,2.0
444,33.0
445,15.0
446,15.0
447,24.0
448,11.0
449,6.0
450,31.0
451,6.0
452,4.0
453,5.0
454,3.0
455,13.0
456,3.0
457,2.0
458,2.0
459,4.0
460,22.0
461,59.0
462,4.0
463,39.0
464,21.0
465,22.0
466,1.0
467,28.0
468,7.0
469,19.0
470,23.0
471,15.0
472,13.0
473,11.0
474,13.0
475,2.0
476,13.0
477,18.0
478,5.0
479,21.0
480,18.0
481,27.0
482,15.0
483,10.0
484,12.0
485,1.0
486,8.0
487,8.0
488,6.0
489,2.0
490,21.0
491,16.0
492,0.0
493,23.0
494,42.0
495,27.0
496,27.0
497,1.0
498,7.0
499,22.0
500,7.0
501,20.0
502,16.0
503,33.0
504,15.0
505,43.0
506,39.0
507,3.0
508,7.0
509,0.0
510,6.0
511,0.0
512,30.0
513,3.0
514,1.0
515,0.0
516,31.0
517,5.0
518,31.0
519,3.0
520,23.0
521,1.0
522,9.0
523,9.0
524,2.0
525,9.0
526,2.0
527,11.0
528,31.0
529,0.0
530,14.0
531,3.0
532,29.0
533,27.0
534,21.0
535,8.0
536,28.0
537,26.0
538,1.0
539,18.0
540,5.0
541,9.0
542,11.0
543,5.0
544,30.0
545,31.0
546,15.0
547,1.0
548,4.0
549,1.0
550,24.0
551,12.0
552,21.0
553,24.0
554,42.0
555,17.0
556,21.0
557,26.0
558,4.0
559,5.0
560,3.0
561,28.0
562,31.0
563,30.0
564,17.0
565,23.0
566,11.0
567,14.0
568,4.0
569,9.0
570,6.0
571,20.0
572,2.0
573,4.0
574,24.0
575,14.0
576,22.0
577,30.0
578,32.0
579,3.0
580,2.0
581,6.0
582,18.0
583,9.0
584,6.0
585,10.0
586,9.0
587,23.0
588,4.0
589,6.0
590,9.0
591,40.0
592,20.0
593,23.0
594,20.0
595,19.0
596,11.0
597,5.0
598,4.0
599,28.0
600,6.0
601,22.0
602,44.0
603,35.0
604,18.0
605,21.0
606,9.0
607,13.0
608,2.0
609,6.0
610,5.0
611,14.0
612,15.0
613,6.0
614,19.0
615,8.0
616,3.0
617,10.0
618,11.0
619,30.0
620,6.0
621,18.0
622,42.0
623,6.0
624,15.0
625,7.0
626,9.0
627,15.0
628,26.0
629,0.0
630,1.0
631,9.0
632,31.0
633,0.0
634,6.0
635,21.0
636,0.0
637,28.0
638,14.0
639,19.0
640,13.0
641,25.0
642,3.0
643,8.0
644,28.0
645,10.0
646,1.0
647,2.0
648,2.0
649,2.0
650,37.0
651,7.0
652,4.0
653,26.0
654,4.0
655,6.0
656,24.0
657,32.0
658,8.0
659,1.0
660,17.0
661,5.0
662,7.0
663,18.0
664,51.0
