,Adgrl3
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,1.0
6,1.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,1.0
14,0.0
15,0.0
16,1.0
17,0.0
18,1.0
19,1.0
20,0.0
21,0.0
22,1.0
23,0.0
24,1.0
25,1.0
26,0.0
27,2.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,1.0
35,0.0
36,1.0
37,0.0
38,0.0
39,1.0
40,1.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,1.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,2.0
56,0.0
57,1.0
58,0.0
59,1.0
60,1.0
61,0.0
62,0.0
63,0.0
64,1.0
65,0.0
66,0.0
67,1.0
68,0.0
69,4.0
70,0.0
71,0.0
72,0.0
73,0.0
74,7.0
75,0.0
76,1.0
77,1.0
78,0.0
79,6.0
80,0.0
81,1.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,1.0
90,1.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,1.0
103,4.0
104,1.0
105,0.0
106,0.0
107,1.0
108,0.0
109,1.0
110,0.0
111,0.0
112,0.0
113,0.0
114,1.0
115,1.0
116,0.0
117,5.0
118,1.0
119,2.0
120,0.0
121,1.0
122,1.0
123,3.0
124,0.0
125,0.0
126,0.0
127,2.0
128,0.0
129,3.0
130,0.0
131,0.0
132,0.0
133,0.0
134,4.0
135,1.0
136,2.0
137,0.0
138,0.0
139,0.0
140,5.0
141,14.0
142,9.0
143,8.0
144,0.0
145,3.0
146,0.0
147,0.0
148,0.0
149,0.0
150,3.0
151,0.0
152,1.0
153,9.0
154,2.0
155,4.0
156,1.0
157,3.0
158,1.0
159,9.0
160,2.0
161,1.0
162,0.0
163,1.0
164,0.0
165,1.0
166,0.0
167,0.0
168,13.0
169,0.0
170,3.0
171,1.0
172,4.0
173,7.0
174,12.0
175,2.0
176,8.0
177,0.0
178,0.0
179,7.0
180,4.0
181,5.0
182,0.0
183,0.0
184,8.0
185,1.0
186,5.0
187,0.0
188,9.0
189,2.0
190,0.0
191,0.0
192,0.0
193,5.0
194,2.0
195,0.0
196,1.0
197,0.0
198,2.0
199,2.0
200,0.0
201,1.0
202,0.0
203,22.0
204,0.0
205,1.0
206,1.0
207,7.0
208,4.0
209,2.0
210,0.0
211,6.0
212,1.0
213,0.0
214,0.0
215,1.0
216,0.0
217,3.0
218,6.0
219,0.0
220,8.0
221,1.0
222,4.0
223,0.0
224,0.0
225,11.0
226,0.0
227,2.0
228,3.0
229,4.0
230,0.0
231,10.0
232,7.0
233,10.0
234,3.0
235,1.0
236,4.0
237,2.0
238,13.0
239,2.0
240,8.0
241,0.0
242,8.0
243,0.0
244,9.0
245,0.0
246,0.0
247,0.0
248,0.0
249,3.0
250,0.0
251,5.0
252,1.0
253,1.0
254,0.0
255,0.0
256,0.0
257,5.0
258,1.0
259,0.0
260,4.0
261,7.0
262,22.0
263,0.0
264,8.0
265,3.0
266,2.0
267,4.0
268,4.0
269,5.0
270,1.0
271,2.0
272,4.0
273,3.0
274,6.0
275,4.0
276,3.0
277,9.0
278,2.0
279,4.0
280,11.0
281,2.0
282,7.0
283,2.0
284,12.0
285,11.0
286,2.0
287,1.0
288,1.0
289,3.0
290,0.0
291,0.0
292,2.0
293,8.0
294,6.0
295,5.0
296,4.0
297,0.0
298,1.0
299,2.0
300,0.0
301,6.0
302,0.0
303,4.0
304,0.0
305,4.0
306,5.0
307,5.0
308,1.0
309,0.0
310,8.0
311,6.0
312,2.0
313,1.0
314,9.0
315,3.0
316,3.0
317,1.0
318,8.0
319,2.0
320,7.0
321,8.0
322,0.0
323,1.0
324,1.0
325,0.0
326,5.0
327,0.0
328,3.0
329,0.0
330,1.0
331,5.0
332,1.0
333,5.0
334,5.0
335,0.0
336,1.0
337,0.0
338,7.0
339,2.0
340,7.0
341,6.0
342,0.0
343,2.0
344,0.0
345,2.0
346,0.0
347,0.0
348,0.0
349,4.0
350,0.0
351,2.0
352,5.0
353,9.0
354,2.0
355,14.0
356,1.0
357,5.0
358,1.0
359,5.0
360,7.0
361,1.0
362,2.0
363,3.0
364,0.0
365,11.0
366,0.0
367,1.0
368,5.0
369,2.0
370,0.0
371,6.0
372,0.0
373,1.0
374,5.0
375,2.0
376,4.0
377,11.0
378,3.0
379,7.0
380,5.0
381,7.0
382,3.0
383,5.0
384,2.0
385,3.0
386,8.0
387,2.0
388,0.0
389,2.0
390,1.0
391,0.0
392,2.0
393,0.0
394,8.0
395,5.0
396,0.0
397,9.0
398,0.0
399,2.0
400,1.0
401,0.0
402,6.0
403,2.0
404,1.0
405,0.0
406,4.0
407,7.0
408,4.0
409,0.0
410,0.0
411,1.0
412,2.0
413,0.0
414,11.0
415,8.0
416,0.0
417,3.0
418,0.0
419,1.0
420,2.0
421,5.0
422,5.0
423,0.0
424,0.0
425,0.0
426,6.0
427,2.0
428,3.0
429,2.0
430,2.0
431,6.0
432,4.0
433,9.0
434,4.0
435,2.0
436,10.0
437,0.0
438,4.0
439,2.0
440,5.0
441,9.0
442,2.0
443,0.0
444,9.0
445,6.0
446,2.0
447,10.0
448,0.0
449,0.0
450,6.0
451,1.0
452,0.0
453,0.0
454,1.0
455,3.0
456,2.0
457,0.0
458,1.0
459,1.0
460,2.0
461,8.0
462,2.0
463,8.0
464,6.0
465,4.0
466,1.0
467,6.0
468,2.0
469,4.0
470,7.0
471,6.0
472,5.0
473,1.0
474,4.0
475,1.0
476,0.0
477,2.0
478,1.0
479,2.0
480,5.0
481,5.0
482,2.0
483,0.0
484,5.0
485,0.0
486,2.0
487,2.0
488,5.0
489,1.0
490,3.0
491,8.0
492,0.0
493,11.0
494,9.0
495,12.0
496,5.0
497,0.0
498,2.0
499,8.0
500,0.0
501,3.0
502,6.0
503,14.0
504,3.0
505,10.0
506,6.0
507,0.0
508,2.0
509,0.0
510,0.0
511,0.0
512,4.0
513,4.0
514,0.0
515,0.0
516,6.0
517,0.0
518,8.0
519,1.0
520,9.0
521,0.0
522,2.0
523,0.0
524,0.0
525,3.0
526,1.0
527,5.0
528,9.0
529,1.0
530,3.0
531,4.0
532,8.0
533,6.0
534,5.0
535,2.0
536,5.0
537,5.0
538,2.0
539,6.0
540,0.0
541,0.0
542,2.0
543,0.0
544,8.0
545,5.0
546,11.0
547,0.0
548,1.0
549,0.0
550,6.0
551,2.0
552,7.0
553,9.0
554,9.0
555,4.0
556,5.0
557,6.0
558,3.0
559,0.0
560,0.0
561,6.0
562,7.0
563,7.0
564,1.0
565,6.0
566,0.0
567,1.0
568,0.0
569,4.0
570,0.0
571,3.0
