,Cspg5
532,11.0
533,16.0
534,10.0
535,23.0
536,17.0
537,9.0
538,2.0
539,10.0
540,5.0
541,44.0
542,1.0
543,13.0
544,21.0
545,15.0
546,21.0
547,2.0
548,5.0
549,0.0
550,15.0
551,10.0
552,19.0
553,17.0
554,31.0
555,16.0
556,7.0
557,16.0
558,1.0
559,1.0
560,3.0
561,12.0
562,16.0
563,32.0
564,6.0
565,12.0
566,11.0
567,2.0
568,0.0
569,6.0
570,5.0
571,11.0
572,2.0
573,24.0
574,18.0
575,8.0
576,10.0
577,11.0
578,13.0
579,1.0
580,0.0
581,1.0
582,11.0
583,6.0
584,5.0
585,34.0
586,7.0
587,6.0
588,16.0
589,3.0
590,6.0
591,17.0
592,8.0
593,12.0
594,15.0
595,8.0
596,5.0
597,0.0
598,8.0
599,14.0
600,12.0
601,15.0
602,24.0
603,17.0
604,2.0
605,19.0
606,27.0
607,36.0
608,3.0
609,12.0
610,4.0
611,7.0
612,4.0
613,2.0
614,11.0
615,4.0
616,1.0
617,4.0
618,26.0
619,15.0
620,1.0
621,11.0
622,26.0
623,42.0
624,8.0
625,5.0
626,4.0
627,16.0
628,14.0
629,0.0
630,1.0
631,7.0
632,8.0
633,2.0
634,24.0
635,8.0
636,3.0
637,8.0
638,38.0
639,9.0
640,12.0
641,30.0
642,10.0
643,4.0
644,21.0
645,13.0
646,4.0
647,10.0
648,0.0
649,8.0
650,18.0
651,25.0
652,1.0
653,16.0
654,14.0
655,3.0
656,10.0
657,17.0
658,5.0
659,26.0
660,10.0
661,1.0
662,2.0
663,4.0
664,26.0
665,23.0
666,17.0
667,0.0
668,4.0
669,10.0
670,3.0
671,19.0
672,14.0
673,8.0
674,1.0
675,2.0
676,8.0
677,19.0
678,18.0
679,6.0
680,9.0
681,9.0
682,22.0
683,3.0
684,6.0
685,11.0
686,32.0
687,3.0
688,7.0
689,1.0
690,9.0
691,1.0
692,23.0
693,15.0
694,41.0
695,12.0
696,18.0
697,14.0
698,9.0
699,19.0
700,8.0
701,3.0
702,1.0
703,2.0
704,13.0
705,13.0
706,13.0
707,0.0
708,15.0
709,12.0
710,2.0
711,5.0
712,30.0
713,1.0
714,16.0
715,3.0
716,17.0
717,35.0
718,8.0
719,11.0
720,13.0
721,15.0
722,1.0
723,15.0
724,1.0
725,6.0
726,9.0
727,12.0
728,12.0
729,1.0
730,6.0
731,5.0
732,3.0
733,5.0
734,14.0
735,16.0
736,13.0
737,13.0
738,5.0
739,7.0
740,0.0
741,7.0
742,11.0
743,11.0
744,3.0
745,46.0
746,24.0
747,0.0
748,8.0
749,9.0
750,2.0
751,28.0
752,8.0
753,18.0
754,0.0
755,15.0
756,3.0
757,31.0
758,4.0
759,18.0
760,4.0
761,34.0
762,8.0
763,29.0
764,26.0
765,10.0
766,5.0
767,3.0
768,4.0
769,3.0
770,0.0
771,12.0
772,0.0
773,5.0
774,1.0
775,2.0
