,Adora1
532,2.0
533,2.0
534,3.0
535,0.0
536,5.0
537,0.0
538,2.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,3.0
545,2.0
546,3.0
547,0.0
548,1.0
549,0.0
550,1.0
551,1.0
552,2.0
553,0.0
554,4.0
555,3.0
556,2.0
557,1.0
558,0.0
559,0.0
560,0.0
561,5.0
562,3.0
563,2.0
564,1.0
565,2.0
566,0.0
567,1.0
568,2.0
569,0.0
570,0.0
571,5.0
572,0.0
573,1.0
574,3.0
575,0.0
576,2.0
577,1.0
578,3.0
579,0.0
580,0.0
581,2.0
582,2.0
583,0.0
584,0.0
585,3.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,7.0
592,1.0
593,2.0
594,3.0
595,0.0
596,0.0
597,0.0
598,0.0
599,1.0
600,6.0
601,4.0
602,1.0
603,7.0
604,0.0
605,6.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,1.0
613,2.0
614,2.0
615,1.0
616,0.0
617,1.0
618,0.0
619,2.0
620,1.0
621,6.0
622,1.0
623,0.0
624,3.0
625,2.0
626,0.0
627,0.0
628,3.0
629,0.0
630,1.0
631,0.0
632,8.0
633,0.0
634,0.0
635,6.0
636,0.0
637,5.0
638,0.0
639,0.0
640,1.0
641,1.0
642,0.0
643,0.0
644,3.0
645,0.0
646,1.0
647,0.0
648,0.0
649,0.0
650,2.0
651,0.0
652,0.0
653,1.0
654,0.0
655,1.0
656,2.0
657,4.0
658,0.0
659,1.0
660,2.0
661,1.0
662,0.0
663,1.0
664,1.0
665,1.0
666,1.0
667,0.0
668,3.0
669,3.0
670,1.0
671,4.0
672,4.0
673,3.0
674,1.0
675,0.0
676,2.0
677,0.0
678,1.0
679,3.0
680,3.0
681,1.0
682,8.0
683,0.0
684,1.0
685,4.0
686,0.0
687,0.0
688,0.0
689,0.0
690,2.0
691,0.0
692,2.0
693,2.0
694,0.0
695,1.0
696,3.0
697,0.0
698,0.0
699,0.0
700,1.0
701,1.0
702,0.0
703,0.0
704,0.0
705,2.0
706,0.0
707,0.0
708,2.0
709,1.0
710,1.0
711,0.0
712,5.0
713,0.0
714,0.0
715,0.0
716,3.0
717,0.0
718,1.0
719,0.0
720,5.0
721,0.0
722,0.0
723,2.0
724,0.0
725,1.0
726,2.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,1.0
734,0.0
735,0.0
736,0.0
737,1.0
738,0.0
739,1.0
740,0.0
741,1.0
742,2.0
743,0.0
744,1.0
745,5.0
746,0.0
747,0.0
748,1.0
749,0.0
750,0.0
751,2.0
752,0.0
753,0.0
754,0.0
755,1.0
756,0.0
757,0.0
758,0.0
759,2.0
760,0.0
761,1.0
762,2.0
763,1.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,1.0
772,4.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,2.0
779,0.0
780,2.0
781,0.0
782,1.0
783,1.0
784,0.0
785,0.0
786,0.0
787,7.0
788,0.0
789,0.0
790,4.0
791,2.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,2.0
800,0.0
801,1.0
802,0.0
803,0.0
804,0.0
805,0.0
806,2.0
807,1.0
808,1.0
809,0.0
810,2.0
811,4.0
812,0.0
813,0.0
814,3.0
815,1.0
816,1.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,1.0
823,0.0
824,0.0
825,0.0
826,6.0
827,0.0
828,0.0
829,0.0
830,5.0
831,0.0
832,0.0
833,0.0
834,1.0
835,0.0
836,2.0
837,0.0
838,1.0
839,0.0
840,0.0
841,0.0
842,0.0
843,1.0
844,1.0
845,0.0
846,0.0
847,1.0
848,0.0
849,0.0
850,2.0
851,0.0
852,0.0
853,2.0
854,2.0
855,1.0
856,1.0
857,0.0
858,0.0
859,1.0
860,0.0
861,0.0
862,2.0
863,1.0
864,0.0
865,2.0
866,0.0
867,0.0
868,0.0
869,1.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,1.0
878,0.0
879,0.0
880,2.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,1.0
889,1.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,1.0
899,0.0
900,0.0
901,0.0
902,3.0
903,1.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,3.0
929,0.0
930,1.0
931,2.0
932,0.0
933,1.0
934,1.0
935,0.0
936,1.0
937,1.0
938,0.0
939,1.0
940,0.0
941,1.0
942,0.0
943,0.0
