,Ntrk3
0,4.0
1,0.0
2,1.0
3,1.0
4,1.0
5,0.0
6,2.0
7,0.0
8,5.0
9,0.0
10,0.0
11,0.0
12,1.0
13,1.0
14,6.0
15,0.0
16,4.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,3.0
23,2.0
24,2.0
25,0.0
26,3.0
27,2.0
28,0.0
29,0.0
30,1.0
31,9.0
32,5.0
33,0.0
34,0.0
35,1.0
36,0.0
37,0.0
38,0.0
39,3.0
40,0.0
41,2.0
42,0.0
43,0.0
44,7.0
45,2.0
46,0.0
47,0.0
48,1.0
49,0.0
50,1.0
51,3.0
52,1.0
53,0.0
54,0.0
55,3.0
56,0.0
57,1.0
58,0.0
59,4.0
60,0.0
61,0.0
62,3.0
63,0.0
64,8.0
65,1.0
66,0.0
67,2.0
68,2.0
69,5.0
70,1.0
71,1.0
72,2.0
73,0.0
74,0.0
75,1.0
76,2.0
77,0.0
78,0.0
79,2.0
80,2.0
81,0.0
82,0.0
83,6.0
84,1.0
85,0.0
86,0.0
87,5.0
88,1.0
89,1.0
90,0.0
91,9.0
92,2.0
93,1.0
94,1.0
95,5.0
96,3.0
97,0.0
98,0.0
99,0.0
100,1.0
101,0.0
102,6.0
103,5.0
104,5.0
105,1.0
106,2.0
107,4.0
108,1.0
109,1.0
110,0.0
111,0.0
112,0.0
113,2.0
114,2.0
115,0.0
116,0.0
117,9.0
118,2.0
119,5.0
120,1.0
121,0.0
122,0.0
123,8.0
124,4.0
125,4.0
126,5.0
127,6.0
128,0.0
129,3.0
130,2.0
131,4.0
132,1.0
133,2.0
134,15.0
135,0.0
136,2.0
137,0.0
138,0.0
139,1.0
140,1.0
141,45.0
142,15.0
143,24.0
144,0.0
145,13.0
146,1.0
147,0.0
148,0.0
149,0.0
150,14.0
151,7.0
152,1.0
153,17.0
154,5.0
155,16.0
156,8.0
157,17.0
158,9.0
159,13.0
160,3.0
161,0.0
162,8.0
163,0.0
164,0.0
165,19.0
166,1.0
167,4.0
168,18.0
169,0.0
170,19.0
171,0.0
172,4.0
173,20.0
174,18.0
175,0.0
176,11.0
177,0.0
178,0.0
179,9.0
180,0.0
181,16.0
182,0.0
183,0.0
184,17.0
185,7.0
186,6.0
187,7.0
188,23.0
189,4.0
190,0.0
191,0.0
192,1.0
193,24.0
194,10.0
195,5.0
196,4.0
197,0.0
198,1.0
199,8.0
200,0.0
201,9.0
202,0.0
203,35.0
204,0.0
205,0.0
206,9.0
207,19.0
208,7.0
209,6.0
210,0.0
211,25.0
212,0.0
213,3.0
214,1.0
215,0.0
216,0.0
217,7.0
218,32.0
219,3.0
220,13.0
221,1.0
222,27.0
223,0.0
224,1.0
225,26.0
226,0.0
227,0.0
228,10.0
229,4.0
230,5.0
231,18.0
232,12.0
233,18.0
234,8.0
235,12.0
