,Celsr2
532,5.0
533,8.0
534,5.0
535,0.0
536,9.0
537,14.0
538,0.0
539,4.0
540,2.0
541,1.0
542,1.0
543,1.0
544,16.0
545,6.0
546,16.0
547,0.0
548,0.0
549,0.0
550,9.0
551,5.0
552,8.0
553,4.0
554,9.0
555,6.0
556,7.0
557,3.0
558,0.0
559,0.0
560,1.0
561,4.0
562,10.0
563,8.0
564,3.0
565,3.0
566,0.0
567,0.0
568,0.0
569,2.0
570,0.0
571,6.0
572,0.0
573,1.0
574,12.0
575,4.0
576,7.0
577,5.0
578,14.0
579,0.0
580,0.0
581,1.0
582,5.0
583,5.0
584,1.0
585,3.0
586,3.0
587,6.0
588,1.0
589,2.0
590,1.0
591,5.0
592,6.0
593,6.0
594,4.0
595,9.0
596,2.0
597,0.0
598,2.0
599,9.0
600,2.0
601,9.0
602,11.0
603,8.0
604,6.0
605,9.0
606,0.0
607,3.0
608,1.0
609,0.0
610,1.0
611,3.0
612,6.0
613,0.0
614,3.0
615,0.0
616,0.0
617,1.0
618,2.0
619,10.0
620,2.0
621,4.0
622,7.0
623,0.0
624,11.0
625,4.0
626,3.0
627,2.0
628,4.0
629,0.0
630,0.0
631,8.0
632,9.0
633,0.0
634,2.0
635,8.0
636,0.0
637,7.0
638,0.0
639,7.0
640,5.0
641,12.0
642,0.0
643,3.0
644,9.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,8.0
651,1.0
652,1.0
653,6.0
654,1.0
655,4.0
656,4.0
657,14.0
658,3.0
659,1.0
660,12.0
661,1.0
662,3.0
663,2.0
664,19.0
665,2.0
666,8.0
667,0.0
668,4.0
669,8.0
670,2.0
671,1.0
672,6.0
673,3.0
674,0.0
675,0.0
676,10.0
677,1.0
678,7.0
679,7.0
680,6.0
681,6.0
682,12.0
683,3.0
684,2.0
685,3.0
686,0.0
687,0.0
688,8.0
689,1.0
690,8.0
691,0.0
692,2.0
693,6.0
694,0.0
695,9.0
696,6.0
697,6.0
698,1.0
699,1.0
700,3.0
701,6.0
702,0.0
703,0.0
