,Grm3
0,0.0
1,0.0
2,0.0
3,0.0
4,1.0
5,1.0
6,2.0
7,1.0
8,0.0
9,1.0
10,0.0
11,1.0
12,1.0
13,0.0
14,0.0
15,0.0
16,2.0
17,0.0
18,0.0
19,1.0
20,1.0
21,0.0
22,2.0
23,0.0
24,0.0
25,1.0
26,4.0
27,0.0
28,0.0
29,3.0
30,1.0
31,0.0
32,1.0
33,0.0
34,0.0
35,2.0
36,0.0
37,2.0
38,1.0
39,1.0
40,2.0
41,0.0
42,1.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,2.0
51,0.0
52,0.0
53,1.0
54,1.0
55,0.0
56,5.0
57,1.0
58,0.0
59,6.0
60,0.0
61,1.0
62,0.0
63,2.0
64,0.0
65,2.0
66,1.0
67,0.0
68,1.0
69,0.0
70,0.0
71,0.0
72,1.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,2.0
79,0.0
80,4.0
81,0.0
82,0.0
83,0.0
84,2.0
85,2.0
86,0.0
87,1.0
88,0.0
89,2.0
90,2.0
91,1.0
92,1.0
93,0.0
94,2.0
95,4.0
96,2.0
97,0.0
98,3.0
99,1.0
100,1.0
101,0.0
102,2.0
103,1.0
104,0.0
105,0.0
106,0.0
107,0.0
108,1.0
109,0.0
110,0.0
111,0.0
112,3.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,3.0
119,0.0
120,1.0
121,7.0
122,0.0
123,2.0
124,0.0
125,0.0
126,0.0
127,1.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,7.0
136,0.0
137,2.0
138,0.0
139,2.0
140,5.0
141,4.0
142,3.0
143,1.0
144,0.0
145,0.0
146,6.0
147,0.0
148,4.0
149,2.0
150,1.0
151,0.0
152,5.0
153,6.0
154,0.0
155,2.0
156,5.0
157,1.0
158,0.0
159,0.0
160,1.0
161,2.0
162,1.0
163,6.0
164,2.0
165,2.0
166,0.0
167,0.0
168,14.0
169,0.0
170,1.0
171,0.0
172,3.0
173,4.0
174,6.0
175,3.0
176,5.0
177,1.0
178,2.0
179,1.0
180,0.0
181,2.0
182,8.0
183,0.0
184,6.0
185,0.0
186,0.0
187,1.0
188,3.0
189,0.0
190,0.0
191,4.0
192,0.0
193,2.0
194,1.0
195,2.0
196,1.0
197,0.0
198,1.0
199,1.0
200,7.0
201,0.0
202,9.0
203,1.0
204,0.0
205,0.0
206,0.0
207,6.0
208,1.0
209,1.0
210,1.0
211,2.0
212,2.0
213,1.0
214,0.0
215,0.0
216,1.0
217,0.0
218,3.0
219,0.0
220,2.0
221,5.0
222,0.0
223,0.0
224,0.0
225,1.0
226,1.0
227,1.0
228,3.0
229,1.0
230,2.0
231,8.0
232,2.0
233,4.0
234,0.0
235,2.0
236,1.0
237,2.0
238,4.0
239,0.0
240,4.0
241,0.0
242,5.0
243,1.0
244,4.0
245,2.0
246,0.0
247,1.0
248,0.0
249,2.0
250,0.0
251,2.0
252,1.0
253,0.0
254,2.0
255,6.0
256,0.0
257,4.0
258,3.0
259,9.0
260,3.0
261,1.0
262,2.0
263,0.0
264,0.0
265,4.0
266,1.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,4.0
275,4.0
276,0.0
277,6.0
278,1.0
279,2.0
280,1.0
281,8.0
282,7.0
283,2.0
284,4.0
285,4.0
286,2.0
287,0.0
288,0.0
289,0.0
290,1.0
291,1.0
292,3.0
293,0.0
294,3.0
295,3.0
296,2.0
297,0.0
298,0.0
299,2.0
300,1.0
301,1.0
302,0.0
303,3.0
304,1.0
305,1.0
306,0.0
307,1.0
308,0.0
309,0.0
310,0.0
311,0.0
312,3.0
313,0.0
314,7.0
315,1.0
316,0.0
317,4.0
318,2.0
319,0.0
320,2.0
321,1.0
322,2.0
323,4.0
324,5.0
325,2.0
326,0.0
327,3.0
328,1.0
329,1.0
330,7.0
331,1.0
332,0.0
333,0.0
334,2.0
335,12.0
336,0.0
337,0.0
338,2.0
339,1.0
340,1.0
341,2.0
342,1.0
343,0.0
344,0.0
345,0.0
346,0.0
347,2.0
348,1.0
349,0.0
350,0.0
351,5.0
352,0.0
353,3.0
354,1.0
355,3.0
356,3.0
357,0.0
358,1.0
359,3.0
360,4.0
361,5.0
362,1.0
363,12.0
364,1.0
365,2.0
366,2.0
367,5.0
368,2.0
369,1.0
370,0.0
371,4.0
372,2.0
373,1.0
374,2.0
375,1.0
376,3.0
377,5.0
378,5.0
379,5.0
380,8.0
381,6.0
382,0.0
383,1.0
384,6.0
385,0.0
386,9.0
387,0.0
388,0.0
389,1.0
390,0.0
391,5.0
392,0.0
393,0.0
394,2.0
395,1.0
396,0.0
397,3.0
398,1.0
399,0.0
400,6.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,2.0
407,2.0
408,0.0
409,1.0
410,1.0
411,3.0
412,3.0
413,1.0
414,4.0
415,3.0
416,2.0
417,0.0
418,0.0
419,0.0
420,0.0
421,1.0
422,1.0
423,5.0
424,12.0
425,5.0
426,1.0
427,0.0
428,0.0
429,3.0
430,1.0
431,5.0
432,0.0
433,2.0
434,3.0
435,0.0
436,6.0
437,2.0
438,2.0
439,0.0
440,1.0
441,1.0
442,3.0
443,1.0
444,5.0
445,3.0
446,2.0
447,0.0
448,13.0
449,2.0
450,0.0
451,0.0
452,2.0
453,1.0
454,6.0
455,0.0
456,0.0
457,0.0
458,1.0
459,0.0
460,4.0
461,4.0
462,0.0
463,2.0
464,4.0
465,0.0
466,0.0
467,0.0
468,0.0
469,1.0
470,4.0
471,0.0
472,4.0
473,5.0
474,1.0
475,0.0
476,1.0
477,0.0
478,2.0
479,0.0
480,5.0
481,4.0
482,0.0
483,0.0
484,2.0
485,0.0
486,1.0
487,1.0
488,0.0
489,1.0
490,1.0
491,0.0
492,0.0
493,4.0
494,4.0
495,5.0
496,3.0
497,0.0
498,1.0
499,1.0
500,1.0
501,1.0
502,0.0
503,6.0
504,0.0
505,8.0
506,7.0
507,2.0
508,2.0
509,0.0
510,1.0
511,0.0
512,0.0
513,2.0
514,1.0
515,0.0
516,5.0
517,5.0
518,5.0
519,5.0
520,4.0
521,5.0
522,9.0
523,8.0
524,0.0
525,0.0
526,7.0
527,1.0
528,1.0
529,0.0
530,2.0
531,1.0
532,3.0
533,1.0
534,3.0
535,11.0
536,6.0
537,1.0
538,0.0
539,2.0
540,1.0
541,7.0
542,0.0
543,4.0
544,5.0
545,2.0
546,2.0
547,1.0
548,0.0
549,0.0
550,3.0
551,0.0
552,0.0
553,1.0
554,5.0
555,4.0
556,1.0
557,1.0
558,0.0
559,0.0
560,0.0
561,4.0
562,4.0
563,4.0
564,2.0
565,2.0
566,2.0
567,0.0
568,0.0
569,2.0
570,1.0
571,2.0
