,Adgrb1
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,2.0
23,0.0
24,0.0
25,0.0
26,0.0
27,2.0
28,0.0
29,1.0
30,0.0
31,0.0
32,0.0
33,0.0
34,4.0
35,0.0
36,5.0
37,0.0
38,0.0
39,1.0
40,1.0
41,0.0
42,0.0
43,0.0
44,3.0
45,0.0
46,0.0
47,0.0
48,0.0
49,1.0
50,1.0
51,0.0
52,0.0
53,0.0
54,0.0
55,1.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,0.0
62,0.0
63,0.0
64,5.0
65,0.0
66,1.0
67,0.0
68,0.0
69,8.0
70,0.0
71,0.0
72,1.0
73,0.0
74,3.0
75,1.0
76,2.0
77,0.0
78,0.0
79,3.0
80,0.0
81,0.0
82,0.0
83,0.0
84,1.0
85,0.0
86,0.0
87,0.0
88,0.0
89,4.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,1.0
96,0.0
97,0.0
98,0.0
99,0.0
100,1.0
101,0.0
102,0.0
103,22.0
104,3.0
105,0.0
106,1.0
107,2.0
108,0.0
109,0.0
110,0.0
111,0.0
112,1.0
113,0.0
114,2.0
115,1.0
116,0.0
117,15.0
118,1.0
119,6.0
120,3.0
121,0.0
122,0.0
123,2.0
124,0.0
125,0.0
126,0.0
127,14.0
128,0.0
129,0.0
130,0.0
131,3.0
132,0.0
133,0.0
134,7.0
135,1.0
136,0.0
137,1.0
138,0.0
139,0.0
140,0.0
141,13.0
142,9.0
143,8.0
144,0.0
145,12.0
146,0.0
147,0.0
148,0.0
149,0.0
150,10.0
151,0.0
152,0.0
153,7.0
154,0.0
155,16.0
156,3.0
157,14.0
158,1.0
159,21.0
160,1.0
161,0.0
162,2.0
163,0.0
164,0.0
165,12.0
166,0.0
167,1.0
168,20.0
169,0.0
170,13.0
171,0.0
172,6.0
173,13.0
174,9.0
175,0.0
176,13.0
177,0.0
178,0.0
179,5.0
180,2.0
181,12.0
182,1.0
183,0.0
184,8.0
185,0.0
186,22.0
187,3.0
188,14.0
189,7.0
190,0.0
191,0.0
192,0.0
193,21.0
194,0.0
195,1.0
196,1.0
197,0.0
198,1.0
199,6.0
200,0.0
201,3.0
202,0.0
203,19.0
204,0.0
205,0.0
206,12.0
207,7.0
208,5.0
209,1.0
210,0.0
211,20.0
212,0.0
213,1.0
214,2.0
215,1.0
216,2.0
217,7.0
218,11.0
219,0.0
220,7.0
221,0.0
222,20.0
223,0.0
224,0.0
225,9.0
226,0.0
227,0.0
228,14.0
229,6.0
230,1.0
231,15.0
232,5.0
233,19.0
234,1.0
235,2.0
236,0.0
237,7.0
238,17.0
239,1.0
240,15.0
241,0.0
242,13.0
243,0.0
244,10.0
245,0.0
246,0.0
247,1.0
248,3.0
249,19.0
250,0.0
251,10.0
252,2.0
253,4.0
254,0.0
255,1.0
256,0.0
257,2.0
258,8.0
259,0.0
260,8.0
261,15.0
262,14.0
263,0.0
264,2.0
265,3.0
266,7.0
267,2.0
268,5.0
269,6.0
270,4.0
271,1.0
272,3.0
273,7.0
274,11.0
275,10.0
276,4.0
277,12.0
278,11.0
279,13.0
280,24.0
281,0.0
282,8.0
283,1.0
284,6.0
285,13.0
286,1.0
287,6.0
288,0.0
289,11.0
290,2.0
291,0.0
292,8.0
293,10.0
294,7.0
295,11.0
296,2.0
297,1.0
298,1.0
299,0.0
300,0.0
301,15.0
302,1.0
303,6.0
304,0.0
305,9.0
306,7.0
307,10.0
308,3.0
309,0.0
310,16.0
311,1.0
312,14.0
313,0.0
314,19.0
315,4.0
316,0.0
317,6.0
318,11.0
319,1.0
320,13.0
321,20.0
322,0.0
323,4.0
324,0.0
325,3.0
326,12.0
327,0.0
328,1.0
329,1.0
330,10.0
331,10.0
332,1.0
333,13.0
334,9.0
335,1.0
336,1.0
337,0.0
338,9.0
339,4.0
340,17.0
341,9.0
342,2.0
343,7.0
344,0.0
345,4.0
346,0.0
347,2.0
348,3.0
349,1.0
350,0.0
351,0.0
352,11.0
353,12.0
354,0.0
355,21.0
356,9.0
357,9.0
358,4.0
359,8.0
360,14.0
361,8.0
362,6.0
363,11.0
364,1.0
365,26.0
366,0.0
367,4.0
368,7.0
369,2.0
370,1.0
371,7.0
372,0.0
373,6.0
374,5.0
375,6.0
376,14.0
377,12.0
378,9.0
379,11.0
380,6.0
381,17.0
382,2.0
383,4.0
384,5.0
385,5.0
386,15.0
387,0.0
388,2.0
389,3.0
390,0.0
391,0.0
392,0.0
393,2.0
394,17.0
395,10.0
396,0.0
397,9.0
398,0.0
399,7.0
400,15.0
401,0.0
402,8.0
403,1.0
404,2.0
405,0.0
406,7.0
407,8.0
408,4.0
409,2.0
410,0.0
411,9.0
412,0.0
413,0.0
414,7.0
415,11.0
416,5.0
417,9.0
418,0.0
419,0.0
420,5.0
421,5.0
422,9.0
423,0.0
424,0.0
425,0.0
426,7.0
427,1.0
428,2.0
429,9.0
430,1.0
431,9.0
432,8.0
433,10.0
434,24.0
435,4.0
436,6.0
437,3.0
438,0.0
439,2.0
440,11.0
441,13.0
442,0.0
443,0.0
444,10.0
445,7.0
446,7.0
447,8.0
448,0.0
449,1.0
450,14.0
451,0.0
452,0.0
453,0.0
454,0.0
455,2.0
456,2.0
457,1.0
458,2.0
459,1.0
460,9.0
461,20.0
462,3.0
463,12.0
464,8.0
465,10.0
466,0.0
467,9.0
468,2.0
469,5.0
470,10.0
471,11.0
472,4.0
473,3.0
474,5.0
475,0.0
476,3.0
477,10.0
478,1.0
479,8.0
480,6.0
481,21.0
482,5.0
483,6.0
484,4.0
485,1.0
486,0.0
487,2.0
488,0.0
489,0.0
490,18.0
491,9.0
492,0.0
493,14.0
494,17.0
495,16.0
496,9.0
497,1.0
498,9.0
499,14.0
500,1.0
501,14.0
502,0.0
503,16.0
504,0.0
505,20.0
506,14.0
507,1.0
508,4.0
509,0.0
510,4.0
511,0.0
512,13.0
513,3.0
514,1.0
515,0.0
516,16.0
517,0.0
518,10.0
519,0.0
520,16.0
521,0.0
522,0.0
523,3.0
524,1.0
525,4.0
526,0.0
527,1.0
528,16.0
529,0.0
530,12.0
531,0.0
532,12.0
533,5.0
534,10.0
535,0.0
536,5.0
537,10.0
538,1.0
539,0.0
540,2.0
541,0.0
542,9.0
543,0.0
544,9.0
545,10.0
546,11.0
547,0.0
548,0.0
549,1.0
550,7.0
551,7.0
552,14.0
553,2.0
554,4.0
555,4.0
556,7.0
557,8.0
558,1.0
559,0.0
560,2.0
561,13.0
562,19.0
563,6.0
564,4.0
565,6.0
566,0.0
567,2.0
568,0.0
569,0.0
570,0.0
571,12.0
