,Adgrb1
572,0.0
573,2.0
574,13.0
575,9.0
576,4.0
577,10.0
578,8.0
579,0.0
580,0.0
581,1.0
582,4.0
583,10.0
584,1.0
585,0.0
586,7.0
587,11.0
588,0.0
589,1.0
590,3.0
591,11.0
592,2.0
593,12.0
594,9.0
595,1.0
596,1.0
597,3.0
598,1.0
599,4.0
600,3.0
601,6.0
602,18.0
603,19.0
604,4.0
605,10.0
606,0.0
607,1.0
608,1.0
609,0.0
610,6.0
611,10.0
612,2.0
613,6.0
614,9.0
615,6.0
616,2.0
617,5.0
618,0.0
619,11.0
620,1.0
621,4.0
622,16.0
623,0.0
624,19.0
625,7.0
626,0.0
627,5.0
628,10.0
629,0.0
630,0.0
631,6.0
632,19.0
633,0.0
634,2.0
635,11.0
636,0.0
637,7.0
638,0.0
639,8.0
640,5.0
641,21.0
642,0.0
643,5.0
644,13.0
645,6.0
646,0.0
647,0.0
648,0.0
649,0.0
650,18.0
651,3.0
652,1.0
653,11.0
654,0.0
655,7.0
656,12.0
657,20.0
658,0.0
659,4.0
660,7.0
661,0.0
662,5.0
663,9.0
664,18.0
665,2.0
666,10.0
667,0.0
668,8.0
669,10.0
670,0.0
671,0.0
672,14.0
673,8.0
674,0.0
675,0.0
676,11.0
677,0.0
678,11.0
679,6.0
680,4.0
681,9.0
682,18.0
683,3.0
684,7.0
685,10.0
686,0.0
687,0.0
688,7.0
689,3.0
690,5.0
691,0.0
692,1.0
693,10.0
694,0.0
695,14.0
696,2.0
697,2.0
698,4.0
699,0.0
700,5.0
701,2.0
702,0.0
703,0.0
704,7.0
705,9.0
706,15.0
707,0.0
708,14.0
709,9.0
710,1.0
711,7.0
712,15.0
713,2.0
714,0.0
715,2.0
716,8.0
717,10.0
718,8.0
719,5.0
720,10.0
721,0.0
722,0.0
723,12.0
724,0.0
725,14.0
726,7.0
727,14.0
728,2.0
729,1.0
730,0.0
731,0.0
732,1.0
733,2.0
734,9.0
735,9.0
736,11.0
737,0.0
738,0.0
739,8.0
740,0.0
741,1.0
742,12.0
743,8.0
744,4.0
745,5.0
746,1.0
747,0.0
748,5.0
749,9.0
750,0.0
751,6.0
752,3.0
753,0.0
754,0.0
755,1.0
756,0.0
757,1.0
758,0.0
759,7.0
760,3.0
761,3.0
762,15.0
763,0.0
764,2.0
765,0.0
766,1.0
767,1.0
768,2.0
769,3.0
770,0.0
771,14.0
772,2.0
773,0.0
774,7.0
775,7.0
776,0.0
777,2.0
778,5.0
779,0.0
780,9.0
781,1.0
782,3.0
783,13.0
784,5.0
785,4.0
786,1.0
787,3.0
788,1.0
789,4.0
790,16.0
791,10.0
792,7.0
793,5.0
794,7.0
795,1.0
796,0.0
797,0.0
798,8.0
799,8.0
800,1.0
801,6.0
802,8.0
803,9.0
804,5.0
805,0.0
806,13.0
807,9.0
808,1.0
809,11.0
810,9.0
811,14.0
812,0.0
813,1.0
814,5.0
815,1.0
816,11.0
817,0.0
818,1.0
819,0.0
820,0.0
821,3.0
822,12.0
823,2.0
824,0.0
825,0.0
826,12.0
827,0.0
828,0.0
829,16.0
830,11.0
831,0.0
832,0.0
833,0.0
834,8.0
835,3.0
836,1.0
837,2.0
838,3.0
839,2.0
840,0.0
841,0.0
842,0.0
843,0.0
844,2.0
845,0.0
846,0.0
847,0.0
848,5.0
849,0.0
850,7.0
851,0.0
852,4.0
853,6.0
854,9.0
855,8.0
856,1.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,14.0
863,2.0
864,0.0
865,5.0
866,0.0
867,0.0
868,0.0
869,0.0
870,1.0
871,3.0
872,2.0
873,1.0
874,0.0
875,0.0
876,0.0
877,0.0
878,1.0
879,0.0
880,5.0
881,0.0
882,5.0
883,1.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,27.0
891,0.0
892,0.0
893,1.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,1.0
901,0.0
902,3.0
903,0.0
904,1.0
905,0.0
906,0.0
907,2.0
908,1.0
909,0.0
910,0.0
911,1.0
912,0.0
913,2.0
914,1.0
915,0.0
916,0.0
917,0.0
918,1.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,1.0
925,0.0
926,0.0
927,0.0
928,1.0
929,0.0
930,5.0
931,0.0
932,0.0
933,0.0
934,0.0
935,1.0
936,1.0
937,6.0
938,4.0
939,6.0
940,1.0
941,5.0
942,13.0
943,0.0
944,4.0
945,13.0
946,0.0
947,12.0
948,0.0
949,0.0
950,0.0
951,12.0
952,0.0
953,1.0
954,0.0
955,0.0
956,16.0
957,1.0
958,7.0
959,6.0
960,8.0
961,0.0
962,0.0
963,0.0
964,11.0
965,5.0
966,1.0
967,1.0
968,8.0
969,20.0
970,15.0
971,0.0
972,16.0
973,0.0
974,7.0
975,6.0
976,19.0
977,10.0
978,8.0
979,18.0
980,8.0
981,1.0
982,11.0
983,0.0
984,12.0
985,8.0
986,2.0
987,4.0
988,7.0
989,4.0
990,1.0
991,1.0
992,7.0
993,3.0
994,0.0
995,1.0
996,0.0
997,0.0
998,0.0
999,7.0
1000,0.0
1001,11.0
1002,3.0
1003,3.0
1004,10.0
1005,0.0
1006,12.0
1007,15.0
1008,6.0
1009,6.0
1010,10.0
1011,20.0
1012,23.0
1013,1.0
1014,1.0
1015,6.0
1016,1.0
1017,4.0
1018,0.0
1019,6.0
1020,7.0
1021,7.0
1022,0.0
1023,5.0
1024,2.0
1025,9.0
1026,3.0
1027,0.0
1028,4.0
1029,0.0
1030,13.0
1031,5.0
1032,2.0
1033,14.0
1034,9.0
1035,24.0
1036,7.0
1037,13.0
1038,17.0
1039,2.0
1040,13.0
1041,11.0
1042,3.0
1043,2.0
1044,13.0
1045,2.0
1046,1.0
1047,0.0
1048,1.0
1049,11.0
1050,8.0
1051,6.0
1052,10.0
1053,10.0
1054,17.0
1055,6.0
1056,13.0
1057,16.0
1058,11.0
1059,2.0
1060,8.0
1061,3.0
1062,8.0
1063,5.0
1064,0.0
1065,12.0
1066,0.0
1067,1.0
1068,7.0
1069,13.0
1070,0.0
1071,5.0
1072,1.0
1073,8.0
1074,1.0
1075,7.0
1076,12.0
1077,1.0
1078,1.0
1079,8.0
1080,0.0
1081,4.0
1082,15.0
1083,4.0
1084,4.0
1085,1.0
1086,10.0
1087,1.0
1088,3.0
1089,7.0
1090,7.0
1091,0.0
1092,10.0
1093,9.0
1094,0.0
1095,17.0
1096,10.0
1097,0.0
1098,2.0
1099,12.0
1100,0.0
1101,10.0
1102,8.0
1103,13.0
1104,16.0
1105,2.0
1106,1.0
1107,1.0
1108,0.0
1109,18.0
1110,13.0
1111,15.0
1112,5.0
1113,17.0
1114,1.0
1115,2.0
1116,9.0
1117,1.0
1118,0.0
1119,3.0
1120,17.0
1121,5.0
1122,6.0
1123,0.0
1124,13.0
1125,3.0
1126,2.0
1127,0.0
1128,7.0
1129,2.0
1130,2.0
1131,16.0
1132,4.0
1133,15.0
1134,11.0
1135,9.0
1136,0.0
1137,15.0
1138,16.0
1139,10.0
1140,3.0
1141,2.0
1142,1.0
1143,0.0
1144,10.0
1145,0.0
1146,0.0
1147,4.0
1148,2.0
1149,13.0
1150,5.0
1151,0.0
1152,0.0
1153,0.0
1154,1.0
1155,0.0
1156,0.0
1157,1.0
1158,5.0
1159,0.0
1160,0.0
1161,2.0
1162,9.0
1163,2.0
1164,1.0
1165,4.0
1166,0.0
1167,20.0
1168,7.0
1169,9.0
1170,5.0
1171,3.0
1172,2.0
1173,0.0
1174,0.0
1175,4.0
1176,3.0
1177,3.0
1178,0.0
1179,3.0
1180,6.0
1181,7.0
1182,1.0
1183,6.0
1184,0.0
1185,12.0
1186,8.0
1187,1.0
1188,5.0
1189,5.0
1190,8.0
1191,0.0
1192,2.0
1193,5.0
1194,2.0
1195,7.0
1196,5.0
1197,10.0
1198,2.0
1199,2.0
1200,7.0
1201,0.0
1202,1.0
1203,14.0
1204,10.0
1205,21.0
1206,0.0
1207,1.0
1208,2.0
1209,3.0
1210,0.0
1211,4.0
1212,2.0
1213,19.0
1214,1.0
1215,6.0
1216,5.0
1217,3.0
1218,0.0
1219,8.0
1220,4.0
1221,1.0
1222,11.0
1223,4.0
1224,2.0
1225,1.0
1226,2.0
1227,1.0
1228,3.0
1229,0.0
1230,5.0
1231,10.0
1232,1.0
1233,1.0
1234,18.0
1235,8.0
1236,0.0
1237,5.0
1238,11.0
1239,6.0
1240,8.0
1241,1.0
1242,18.0
1243,1.0
1244,0.0
1245,5.0
1246,5.0
1247,1.0
1248,3.0
1249,0.0
1250,9.0
1251,5.0
1252,0.0
1253,0.0
1254,0.0
1255,8.0
1256,1.0
1257,0.0
1258,2.0
1259,9.0
1260,11.0
1261,1.0
1262,11.0
1263,0.0
1264,0.0
1265,14.0
1266,0.0
1267,17.0
1268,0.0
1269,3.0
1270,9.0
1271,15.0
1272,4.0
1273,6.0
1274,10.0
1275,0.0
1276,0.0
1277,12.0
1278,21.0
1279,9.0
1280,8.0
1281,2.0
1282,0.0
1283,1.0
1284,16.0
1285,0.0
1286,1.0
1287,2.0
1288,11.0
1289,3.0
1290,0.0
1291,4.0
1292,2.0
1293,4.0
1294,2.0
1295,2.0
1296,4.0
1297,18.0
1298,1.0
1299,15.0
1300,3.0
1301,7.0
1302,3.0
1303,6.0
1304,4.0
1305,2.0
1306,3.0
1307,0.0
1308,11.0
1309,12.0
1310,5.0
1311,14.0
1312,1.0
1313,4.0
1314,12.0
1315,0.0
1316,2.0
1317,0.0
1318,7.0
1319,0.0
1320,23.0
1321,8.0
1322,0.0
1323,16.0
1324,0.0
1325,6.0
1326,6.0
1327,2.0
1328,12.0
1329,11.0
1330,9.0
1331,2.0
1332,12.0
1333,5.0
1334,3.0
1335,16.0
1336,1.0
1337,13.0
1338,1.0
1339,0.0
1340,4.0
1341,4.0
1342,5.0
1343,3.0
1344,2.0
1345,24.0
1346,10.0
1347,3.0
1348,0.0
1349,2.0
1350,7.0
1351,1.0
1352,4.0
1353,2.0
1354,10.0
1355,1.0
1356,0.0
1357,6.0
1358,8.0
1359,2.0
1360,11.0
1361,5.0
1362,10.0
1363,2.0
1364,0.0
1365,11.0
1366,8.0
1367,10.0
1368,8.0
1369,16.0
1370,6.0
1371,10.0
1372,1.0
1373,6.0
1374,4.0
1375,3.0
1376,2.0
1377,9.0
1378,1.0
1379,0.0
1380,19.0
1381,1.0
1382,4.0
1383,3.0
1384,5.0
1385,2.0
1386,1.0
1387,3.0
1388,3.0
1389,0.0
1390,1.0
1391,8.0
1392,7.0
1393,0.0
1394,8.0
1395,2.0
1396,1.0
1397,5.0
1398,2.0
1399,0.0
1400,0.0
1401,4.0
1402,7.0
1403,0.0
1404,0.0
1405,2.0
1406,2.0
1407,6.0
1408,4.0
1409,8.0
1410,8.0
1411,8.0
1412,0.0
1413,9.0
1414,4.0
1415,0.0
1416,6.0
1417,8.0
1418,0.0
1419,0.0
1420,9.0
1421,7.0
1422,2.0
1423,4.0
1424,9.0
1425,10.0
1426,4.0
1427,8.0
1428,0.0
1429,6.0
1430,3.0
1431,4.0
1432,0.0
1433,10.0
1434,0.0
1435,13.0
1436,3.0
1437,0.0
1438,3.0
1439,2.0
1440,3.0
1441,13.0
1442,9.0
1443,3.0
1444,5.0
1445,6.0
1446,3.0
1447,0.0
1448,0.0
1449,9.0
1450,6.0
1451,3.0
1452,6.0
1453,0.0
1454,15.0
1455,3.0
1456,0.0
1457,7.0
1458,6.0
1459,7.0
1460,7.0
1461,6.0
1462,1.0
1463,1.0
1464,6.0
1465,8.0
1466,19.0
1467,2.0
1468,0.0
1469,11.0
1470,2.0
1471,10.0
1472,5.0
1473,7.0
1474,0.0
1475,10.0
1476,12.0
1477,5.0
1478,1.0
1479,1.0
1480,3.0
1481,1.0
1482,6.0
1483,11.0
1484,3.0
1485,6.0
1486,3.0
1487,19.0
1488,9.0
1489,0.0
1490,2.0
1491,9.0
1492,0.0
1493,8.0
1494,4.0
1495,7.0
1496,4.0
1497,15.0
1498,0.0
1499,3.0
1500,5.0
1501,0.0
1502,3.0
1503,0.0
1504,4.0
1505,1.0
1506,10.0
1507,3.0
1508,9.0
1509,0.0
1510,1.0
1511,8.0
1512,0.0
1513,7.0
1514,2.0
1515,2.0
1516,19.0
1517,4.0
1518,1.0
1519,8.0
1520,2.0
1521,0.0
1522,5.0
1523,2.0
1524,15.0
1525,6.0
1526,13.0
1527,1.0
1528,12.0
1529,1.0
1530,0.0
1531,6.0
1532,7.0
1533,3.0
1534,0.0
1535,10.0
1536,0.0
1537,0.0
1538,0.0
1539,6.0
1540,4.0
1541,0.0
1542,1.0
1543,1.0
1544,12.0
1545,4.0
1546,5.0
1547,6.0
1548,8.0
1549,6.0
1550,5.0
1551,0.0
1552,10.0
1553,0.0
1554,13.0
1555,0.0
1556,9.0
1557,0.0
1558,1.0
1559,2.0
1560,7.0
1561,8.0
1562,9.0
1563,4.0
1564,4.0
1565,11.0
1566,10.0
1567,2.0
1568,4.0
1569,3.0
1570,9.0
1571,0.0
1572,2.0
1573,9.0
1574,2.0
1575,3.0
1576,12.0
1577,7.0
1578,16.0
1579,0.0
1580,5.0
1581,4.0
1582,5.0
1583,9.0
1584,3.0
1585,2.0
1586,0.0
1587,0.0
1588,9.0
1589,0.0
1590,8.0
1591,0.0
1592,0.0
1593,6.0
1594,12.0
1595,20.0
1596,6.0
1597,4.0
1598,12.0
1599,6.0
1600,24.0
1601,0.0
1602,2.0
1603,6.0
1604,0.0
1605,0.0
1606,6.0
1607,4.0
1608,21.0
1609,5.0
1610,3.0
1611,3.0
1612,14.0
1613,0.0
1614,2.0
1615,6.0
1616,4.0
1617,2.0
1618,11.0
1619,0.0
1620,4.0
1621,6.0
1622,2.0
1623,0.0
1624,1.0
1625,2.0
1626,0.0
1627,7.0
1628,2.0
1629,1.0
1630,6.0
1631,3.0
1632,14.0
1633,0.0
1634,6.0
1635,9.0
1636,0.0
1637,4.0
1638,9.0
1639,11.0
1640,8.0
1641,20.0
1642,8.0
1643,7.0
1644,7.0
1645,10.0
1646,1.0
1647,5.0
1648,1.0
1649,0.0
1650,15.0
1651,11.0
1652,16.0
1653,3.0
1654,5.0
1655,2.0
1656,1.0
1657,4.0
1658,9.0
1659,9.0
1660,5.0
1661,3.0
1662,10.0
1663,1.0
1664,2.0
1665,4.0
1666,3.0
1667,3.0
1668,0.0
1669,19.0
1670,21.0
1671,18.0
1672,7.0
1673,5.0
1674,0.0
1675,0.0
1676,7.0
1677,4.0
1678,1.0
1679,2.0
1680,16.0
1681,6.0
1682,2.0
1683,0.0
1684,0.0
1685,14.0
1686,6.0
1687,8.0
1688,0.0
1689,7.0
1690,0.0
1691,4.0
1692,0.0
1693,1.0
1694,1.0
1695,5.0
1696,16.0
1697,10.0
1698,9.0
1699,2.0
1700,2.0
1701,11.0
1702,15.0
1703,3.0
1704,6.0
1705,0.0
1706,10.0
1707,7.0
1708,5.0
1709,0.0
1710,2.0
1711,3.0
1712,1.0
1713,4.0
1714,4.0
1715,1.0
1716,13.0
1717,0.0
1718,4.0
1719,1.0
1720,1.0
1721,9.0
1722,9.0
1723,1.0
1724,7.0
1725,4.0
1726,4.0
1727,16.0
1728,5.0
1729,3.0
1730,14.0
1731,0.0
1732,9.0
1733,3.0
1734,12.0
1735,0.0
1736,8.0
1737,3.0
1738,9.0
1739,9.0
1740,0.0
1741,3.0
1742,2.0
1743,15.0
1744,15.0
1745,8.0
1746,0.0
1747,0.0
1748,0.0
1749,10.0
1750,2.0
1751,1.0
1752,13.0
1753,9.0
1754,24.0
1755,11.0
1756,5.0
1757,14.0
1758,5.0
1759,4.0
1760,0.0
1761,3.0
1762,8.0
1763,11.0
1764,0.0
1765,10.0
1766,2.0
1767,0.0
1768,7.0
1769,4.0
1770,2.0
1771,3.0
1772,9.0
1773,2.0
1774,1.0
1775,6.0
1776,5.0
1777,8.0
1778,4.0
1779,4.0
1780,0.0
1781,11.0
1782,2.0
1783,9.0
1784,7.0
1785,17.0
1786,5.0
1787,10.0
1788,0.0
1789,8.0
1790,12.0
1791,0.0
1792,4.0
1793,12.0
1794,4.0
1795,0.0
1796,2.0
1797,0.0
1798,2.0
1799,4.0
1800,15.0
1801,7.0
1802,0.0
1803,3.0
1804,0.0
1805,8.0
1806,11.0
1807,15.0
1808,14.0
1809,2.0
1810,2.0
1811,1.0
1812,0.0
1813,2.0
1814,4.0
1815,0.0
1816,2.0
1817,2.0
1818,3.0
1819,1.0
1820,9.0
1821,0.0
1822,19.0
1823,7.0
1824,14.0
1825,11.0
1826,2.0
1827,4.0
1828,9.0
1829,13.0
1830,1.0
1831,1.0
1832,1.0
1833,13.0
1834,1.0
1835,7.0
1836,1.0
1837,4.0
1838,0.0
1839,15.0
1840,1.0
1841,15.0
1842,1.0
1843,0.0
1844,10.0
1845,0.0
1846,3.0
1847,3.0
1848,0.0
1849,1.0
1850,5.0
1851,12.0
1852,20.0
1853,2.0
1854,0.0
1855,3.0
1856,0.0
1857,1.0
1858,1.0
1859,12.0
1860,20.0
1861,1.0
1862,2.0
1863,2.0
1864,8.0
1865,15.0
1866,14.0
1867,4.0
1868,7.0
1869,3.0
1870,3.0
1871,8.0
1872,2.0
1873,12.0
1874,0.0
1875,9.0
1876,5.0
1877,5.0
1878,1.0
1879,17.0
1880,13.0
1881,6.0
1882,5.0
1883,10.0
1884,2.0
1885,12.0
1886,6.0
1887,2.0
1888,10.0
1889,1.0
1890,1.0
1891,10.0
1892,25.0
1893,8.0
1894,21.0
1895,8.0
1896,4.0
1897,1.0
1898,2.0
1899,4.0
1900,7.0
1901,2.0
1902,14.0
1903,2.0
1904,7.0
1905,7.0
1906,7.0
1907,10.0
1908,1.0
1909,4.0
1910,3.0
1911,13.0
1912,0.0
1913,7.0
1914,9.0
1915,12.0
1916,9.0
1917,6.0
1918,0.0
1919,6.0
1920,1.0
1921,4.0
1922,6.0
1923,6.0
1924,0.0
1925,9.0
1926,4.0
1927,7.0
1928,1.0
1929,0.0
1930,1.0
1931,0.0
1932,0.0
1933,8.0
1934,0.0
1935,0.0
1936,3.0
1937,14.0
1938,4.0
1939,3.0
1940,4.0
1941,5.0
1942,19.0
1943,0.0
1944,0.0
1945,1.0
1946,0.0
1947,9.0
1948,5.0
1949,0.0
1950,3.0
1951,7.0
1952,0.0
1953,8.0
1954,5.0
1955,1.0
1956,2.0
1957,3.0
1958,13.0
1959,2.0
1960,0.0
1961,3.0
1962,1.0
1963,9.0
1964,7.0
1965,4.0
1966,14.0
1967,1.0
1968,1.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,3.0
1974,11.0
1975,10.0
1976,4.0
1977,4.0
1978,10.0
1979,6.0
1980,0.0
1981,2.0
1982,4.0
1983,0.0
1984,7.0
1985,2.0
1986,1.0
1987,0.0
1988,5.0
1989,16.0
1990,3.0
1991,4.0
1992,0.0
1993,0.0
1994,5.0
1995,13.0
1996,2.0
1997,1.0
1998,0.0
1999,0.0
2000,20.0
2001,17.0
2002,9.0
2003,3.0
2004,10.0
2005,7.0
2006,6.0
2007,8.0
2008,0.0
2009,0.0
2010,3.0
2011,16.0
2012,1.0
2013,4.0
2014,6.0
2015,3.0
2016,10.0
2017,7.0
2018,20.0
2019,0.0
2020,1.0
2021,19.0
2022,16.0
2023,3.0
2024,0.0
2025,1.0
2026,12.0
2027,5.0
2028,1.0
2029,8.0
2030,9.0
2031,14.0
2032,0.0
2033,0.0
2034,10.0
2035,16.0
2036,8.0
2037,0.0
2038,1.0
2039,0.0
2040,3.0
2041,28.0
2042,10.0
2043,6.0
2044,8.0
2045,7.0
2046,0.0
2047,18.0
2048,2.0
2049,1.0
2050,10.0
2051,0.0
2052,2.0
2053,9.0
2054,10.0
2055,3.0
2056,19.0
2057,0.0
2058,2.0
2059,5.0
2060,9.0
2061,3.0
2062,17.0
2063,10.0
2064,26.0
2065,7.0
2066,6.0
2067,2.0
2068,8.0
2069,5.0
2070,2.0
2071,24.0
2072,5.0
2073,9.0
2074,5.0
2075,7.0
2076,0.0
2077,0.0
2078,0.0
2079,7.0
2080,7.0
2081,20.0
2082,0.0
2083,18.0
2084,8.0
2085,16.0
2086,8.0
2087,10.0
2088,5.0
2089,1.0
2090,3.0
2091,0.0
2092,8.0
2093,5.0
2094,5.0
2095,15.0
2096,4.0
2097,9.0
2098,1.0
2099,18.0
2100,1.0
2101,10.0
2102,2.0
2103,2.0
2104,5.0
2105,10.0
2106,4.0
2107,0.0
2108,0.0
2109,2.0
2110,1.0
2111,4.0
2112,2.0
2113,1.0
2114,0.0
2115,1.0
2116,6.0
2117,9.0
2118,13.0
2119,4.0
2120,13.0
2121,14.0
2122,6.0
2123,1.0
2124,8.0
2125,10.0
2126,2.0
2127,0.0
2128,4.0
2129,1.0
2130,1.0
2131,12.0
2132,13.0
2133,3.0
2134,7.0
2135,7.0
2136,11.0
2137,2.0
2138,1.0
2139,15.0
