,Syt4
532,16.0
533,33.0
534,13.0
535,1.0
536,20.0
537,23.0
538,4.0
539,4.0
540,7.0
541,0.0
542,9.0
543,0.0
544,16.0
545,25.0
546,24.0
547,0.0
548,0.0
549,0.0
550,31.0
551,23.0
552,24.0
553,22.0
554,41.0
555,6.0
556,13.0
557,7.0
558,1.0
559,1.0
560,1.0
561,18.0
562,23.0
563,19.0
564,12.0
565,16.0
566,2.0
567,5.0
568,1.0
569,6.0
570,0.0
571,6.0
572,0.0
573,0.0
574,20.0
575,17.0
576,9.0
577,18.0
578,36.0
579,0.0
580,0.0
581,0.0
582,7.0
583,14.0
584,0.0
585,3.0
586,7.0
587,20.0
588,0.0
589,2.0
590,6.0
591,21.0
592,14.0
593,17.0
594,21.0
595,13.0
596,1.0
597,2.0
598,4.0
599,25.0
600,10.0
601,14.0
602,28.0
603,16.0
604,8.0
605,19.0
606,1.0
607,1.0
608,0.0
609,0.0
610,5.0
611,8.0
612,8.0
613,7.0
614,11.0
615,5.0
616,4.0
617,4.0
618,0.0
619,15.0
620,4.0
621,12.0
622,31.0
623,0.0
624,20.0
625,5.0
626,1.0
627,6.0
628,29.0
629,0.0
630,0.0
631,5.0
632,18.0
633,0.0
634,1.0
635,6.0
636,3.0
637,12.0
638,0.0
639,13.0
640,11.0
641,46.0
642,0.0
643,5.0
644,19.0
645,9.0
646,0.0
647,0.0
648,0.0
649,0.0
650,28.0
651,3.0
652,0.0
653,19.0
654,0.0
655,9.0
656,13.0
657,29.0
658,8.0
659,0.0
660,12.0
661,0.0
662,13.0
663,23.0
664,28.0
665,7.0
666,27.0
667,0.0
668,6.0
669,22.0
670,4.0
671,1.0
672,18.0
673,8.0
674,0.0
675,0.0
676,29.0
677,0.0
678,23.0
679,13.0
680,18.0
681,37.0
682,17.0
683,11.0
684,6.0
685,6.0
686,0.0
687,0.0
688,20.0
689,3.0
690,5.0
691,2.0
692,0.0
693,17.0
694,0.0
695,11.0
696,6.0
697,4.0
698,6.0
699,1.0
700,6.0
701,3.0
702,0.0
703,0.0
704,14.0
705,8.0
706,26.0
707,0.0
708,32.0
709,11.0
710,2.0
711,17.0
712,20.0
713,2.0
714,0.0
715,7.0
716,11.0
717,24.0
718,13.0
719,16.0
720,9.0
721,0.0
722,1.0
723,22.0
724,0.0
725,9.0
726,11.0
727,10.0
728,11.0
729,0.0
730,0.0
731,0.0
732,1.0
733,2.0
734,7.0
735,17.0
736,21.0
737,6.0
738,0.0
739,12.0
740,0.0
741,16.0
742,8.0
743,20.0
744,3.0
745,0.0
746,0.0
747,0.0
748,10.0
749,7.0
750,1.0
751,21.0
752,0.0
753,0.0
754,0.0
755,0.0
756,3.0
757,0.0
758,0.0
759,5.0
760,0.0
761,0.0
762,19.0
763,0.0
764,8.0
765,0.0
766,3.0
767,3.0
768,12.0
769,0.0
770,0.0
771,13.0
772,0.0
773,0.0
774,5.0
775,6.0
776,1.0
777,1.0
778,6.0
779,0.0
780,16.0
781,7.0
782,23.0
783,11.0
784,0.0
785,3.0
786,14.0
787,6.0
788,2.0
789,3.0
790,13.0
791,25.0
792,28.0
793,8.0
794,5.0
795,0.0
796,1.0
797,0.0
798,13.0
799,7.0
800,0.0
801,20.0
802,26.0
803,19.0
804,4.0
805,0.0
806,18.0
807,55.0
808,0.0
809,27.0
810,6.0
811,8.0
812,0.0
813,0.0
814,7.0
815,1.0
816,21.0
817,0.0
818,0.0
819,0.0
820,0.0
821,5.0
822,26.0
823,0.0
824,2.0
825,0.0
826,28.0
827,0.0
828,0.0
829,32.0
830,11.0
831,1.0
832,0.0
833,0.0
834,18.0
835,2.0
836,0.0
837,0.0
838,12.0
839,2.0
840,0.0
841,0.0
842,0.0
843,0.0
844,11.0
845,0.0
846,0.0
847,0.0
848,6.0
849,2.0
850,16.0
851,0.0
852,10.0
853,12.0
854,18.0
855,22.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,27.0
863,0.0
864,0.0
865,7.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,6.0
877,2.0
878,0.0
879,0.0
880,12.0
881,0.0
882,22.0
883,0.0
884,3.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,20.0
891,0.0
892,0.0
893,5.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,2.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,3.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,3.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,20.0
931,0.0
932,1.0
933,0.0
934,0.0
935,0.0
936,0.0
937,11.0
938,5.0
939,24.0
940,7.0
941,10.0
942,34.0
943,0.0
944,19.0
945,25.0
946,0.0
947,6.0
948,0.0
949,0.0
950,0.0
951,6.0
952,0.0
953,0.0
954,0.0
955,0.0
956,25.0
957,2.0
958,15.0
959,13.0
960,16.0
961,0.0
962,0.0
963,0.0
964,15.0
965,9.0
966,0.0
967,2.0
968,23.0
969,42.0
970,17.0
971,0.0
972,22.0
973,2.0
974,8.0
975,1.0
976,22.0
977,24.0
978,5.0
979,22.0
980,8.0
981,1.0
982,11.0
983,12.0
984,5.0
985,7.0
986,6.0
987,2.0
988,9.0
989,6.0
990,0.0
991,4.0
992,4.0
993,8.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,12.0
1000,0.0
1001,17.0
1002,23.0
1003,7.0
1004,12.0
1005,0.0
1006,30.0
1007,20.0
1008,23.0
1009,26.0
1010,18.0
1011,14.0
1012,22.0
1013,4.0
1014,8.0
1015,7.0
1016,1.0
1017,2.0
1018,0.0
1019,32.0
1020,5.0
1021,21.0
1022,3.0
1023,9.0
1024,7.0
1025,26.0
1026,11.0
1027,0.0
1028,0.0
1029,1.0
1030,18.0
1031,30.0
1032,0.0
1033,14.0
1034,22.0
1035,50.0
1036,7.0
1037,26.0
1038,29.0
1039,1.0
1040,14.0
1041,14.0
1042,7.0
1043,4.0
1044,24.0
1045,0.0
1046,1.0
1047,0.0
1048,7.0
1049,13.0
1050,25.0
1051,14.0
1052,22.0
1053,11.0
1054,27.0
1055,13.0
1056,4.0
1057,21.0
1058,31.0
1059,4.0
1060,21.0
1061,1.0
1062,11.0
1063,6.0
1064,0.0
1065,18.0
1066,0.0
1067,0.0
1068,5.0
1069,22.0
1070,1.0
1071,8.0
1072,1.0
1073,27.0
1074,6.0
1075,16.0
1076,13.0
1077,18.0
1078,7.0
1079,26.0
1080,0.0
1081,12.0
1082,15.0
1083,3.0
1084,17.0
1085,7.0
1086,13.0
1087,2.0
1088,8.0
1089,13.0
1090,11.0
1091,2.0
1092,9.0
1093,15.0
1094,0.0
1095,27.0
1096,30.0
1097,1.0
1098,4.0
1099,24.0
1100,0.0
1101,21.0
1102,21.0
1103,13.0
1104,22.0
1105,7.0
1106,7.0
1107,6.0
1108,5.0
1109,21.0
1110,16.0
1111,13.0
1112,8.0
1113,14.0
1114,0.0
1115,1.0
1116,11.0
1117,4.0
1118,0.0
1119,14.0
1120,25.0
1121,14.0
1122,12.0
1123,8.0
1124,18.0
1125,6.0
1126,4.0
1127,6.0
1128,15.0
1129,2.0
1130,3.0
1131,26.0
1132,9.0
1133,24.0
1134,35.0
1135,12.0
1136,4.0
1137,8.0
1138,32.0
1139,23.0
1140,9.0
1141,8.0
1142,7.0
1143,3.0
1144,28.0
1145,1.0
1146,0.0
1147,8.0
1148,2.0
1149,25.0
1150,7.0
1151,1.0
1152,0.0
1153,0.0
1154,4.0
1155,2.0
1156,1.0
1157,5.0
1158,2.0
1159,1.0
1160,0.0
1161,7.0
1162,18.0
1163,18.0
1164,0.0
1165,20.0
1166,2.0
1167,38.0
1168,24.0
1169,10.0
1170,12.0
1171,6.0
1172,7.0
1173,1.0
1174,0.0
1175,5.0
1176,15.0
1177,1.0
1178,4.0
1179,4.0
1180,11.0
1181,12.0
1182,0.0
1183,7.0
1184,1.0
1185,27.0
1186,15.0
1187,4.0
1188,6.0
1189,6.0
1190,13.0
1191,3.0
1192,3.0
1193,3.0
1194,17.0
1195,22.0
1196,7.0
1197,22.0
1198,11.0
1199,3.0
1200,15.0
1201,1.0
1202,3.0
1203,15.0
1204,7.0
1205,14.0
1206,0.0
1207,6.0
1208,2.0
1209,5.0
1210,1.0
1211,8.0
1212,2.0
1213,19.0
1214,1.0
1215,13.0
1216,15.0
1217,7.0
1218,0.0
1219,7.0
1220,6.0
1221,7.0
1222,14.0
1223,12.0
1224,2.0
1225,3.0
1226,6.0
1227,24.0
1228,6.0
1229,0.0
1230,16.0
1231,17.0
1232,3.0
1233,1.0
1234,27.0
1235,12.0
1236,1.0
1237,6.0
1238,12.0
1239,5.0
1240,7.0
1241,1.0
1242,25.0
1243,0.0
1244,0.0
1245,5.0
1246,23.0
1247,3.0
1248,14.0
1249,4.0
1250,16.0
1251,0.0
1252,11.0
1253,0.0
1254,0.0
1255,9.0
1256,2.0
1257,0.0
1258,0.0
1259,29.0
1260,13.0
1261,4.0
1262,17.0
1263,11.0
1264,0.0
1265,18.0
1266,2.0
1267,33.0
1268,3.0
1269,10.0
1270,12.0
1271,24.0
1272,11.0
1273,7.0
1274,14.0
1275,4.0
1276,10.0
1277,22.0
1278,26.0
1279,8.0
1280,7.0
1281,13.0
1282,2.0
1283,6.0
1284,19.0
1285,1.0
1286,7.0
1287,2.0
1288,15.0
1289,2.0
1290,1.0
1291,10.0
1292,2.0
1293,3.0
1294,8.0
1295,2.0
1296,1.0
1297,13.0
1298,7.0
1299,11.0
1300,19.0
1301,7.0
1302,8.0
1303,17.0
1304,7.0
1305,6.0
1306,9.0
1307,1.0
1308,2.0
1309,8.0
1310,14.0
1311,12.0
1312,2.0
1313,6.0
1314,14.0
1315,1.0
1316,11.0
1317,1.0
1318,1.0
1319,5.0
1320,27.0
1321,26.0
1322,7.0
1323,24.0
1324,0.0
1325,7.0
1326,12.0
1327,3.0
1328,20.0
1329,20.0
1330,20.0
1331,6.0
1332,25.0
1333,10.0
1334,3.0
1335,9.0
1336,2.0
1337,33.0
1338,0.0
1339,6.0
1340,15.0
1341,6.0
1342,15.0
1343,2.0
1344,2.0
1345,12.0
1346,17.0
1347,9.0
1348,0.0
1349,7.0
1350,14.0
1351,0.0
1352,11.0
1353,8.0
1354,37.0
1355,5.0
1356,1.0
1357,3.0
1358,11.0
1359,5.0
1360,20.0
1361,27.0
1362,14.0
1363,5.0
1364,2.0
1365,9.0
1366,8.0
1367,17.0
1368,17.0
1369,5.0
1370,14.0
1371,18.0
1372,5.0
1373,20.0
1374,18.0
1375,5.0
1376,10.0
1377,22.0
1378,1.0
1379,0.0
1380,19.0
1381,0.0
1382,9.0
1383,3.0
1384,8.0
1385,1.0
1386,7.0
1387,4.0
1388,2.0
1389,1.0
1390,0.0
1391,12.0
1392,18.0
1393,8.0
1394,8.0
1395,3.0
1396,0.0
1397,10.0
1398,12.0
1399,7.0
1400,0.0
1401,3.0
1402,15.0
1403,0.0
1404,4.0
1405,17.0
1406,1.0
1407,11.0
1408,3.0
1409,4.0
1410,13.0
1411,24.0
1412,0.0
1413,5.0
1414,11.0
1415,2.0
1416,12.0
1417,11.0
1418,1.0
1419,6.0
1420,25.0
1421,21.0
1422,8.0
1423,10.0
1424,15.0
1425,26.0
1426,9.0
1427,27.0
1428,0.0
1429,23.0
1430,4.0
1431,10.0
1432,0.0
