,Gabbr2
532,22.0
533,16.0
534,19.0
535,2.0
536,11.0
537,16.0
538,5.0
539,5.0
540,6.0
541,0.0
542,13.0
543,1.0
544,24.0
545,24.0
546,25.0
547,0.0
548,0.0
549,0.0
550,15.0
551,11.0
552,26.0
553,24.0
554,24.0
555,19.0
556,19.0
557,17.0
558,0.0
559,1.0
560,1.0
561,22.0
562,30.0
563,18.0
564,7.0
565,9.0
566,1.0
567,1.0
568,2.0
569,7.0
570,0.0
571,11.0
572,0.0
573,0.0
574,24.0
575,12.0
576,18.0
577,18.0
578,28.0
579,0.0
580,1.0
581,3.0
582,5.0
583,12.0
584,1.0
585,11.0
586,0.0
587,13.0
588,0.0
589,3.0
590,8.0
591,23.0
592,16.0
593,35.0
594,29.0
595,16.0
596,3.0
597,1.0
598,4.0
599,25.0
600,10.0
601,13.0
602,25.0
603,27.0
604,18.0
605,28.0
606,0.0
607,2.0
608,2.0
609,0.0
610,4.0
611,12.0
612,10.0
613,5.0
614,10.0
615,3.0
616,1.0
617,10.0
618,1.0
619,27.0
620,4.0
621,9.0
622,38.0
623,0.0
624,17.0
625,4.0
626,4.0
627,17.0
628,14.0
629,0.0
630,0.0
631,10.0
632,33.0
633,0.0
634,3.0
635,15.0
636,6.0
637,15.0
638,0.0
639,10.0
640,8.0
641,17.0
642,1.0
643,21.0
644,23.0
645,13.0
646,0.0
647,1.0
648,0.0
649,0.0
650,12.0
651,5.0
652,1.0
653,31.0
654,1.0
655,7.0
656,19.0
657,25.0
658,7.0
659,1.0
660,14.0
661,2.0
662,5.0
663,12.0
664,25.0
665,6.0
666,15.0
667,0.0
668,10.0
669,12.0
670,6.0
671,0.0
672,23.0
673,20.0
674,0.0
675,0.0
676,19.0
677,1.0
678,30.0
679,15.0
680,5.0
681,23.0
682,30.0
683,6.0
684,12.0
685,14.0
686,1.0
687,0.0
688,14.0
689,2.0
690,8.0
691,2.0
692,1.0
693,16.0
694,0.0
695,12.0
696,10.0
697,19.0
698,3.0
699,2.0
700,4.0
701,7.0
702,0.0
703,0.0
704,10.0
705,12.0
706,26.0
707,0.0
708,20.0
709,22.0
710,1.0
711,13.0
712,16.0
713,2.0
714,0.0
715,5.0
716,21.0
717,32.0
718,20.0
719,9.0
720,28.0
721,1.0
722,0.0
723,30.0
724,1.0
725,9.0
726,16.0
727,22.0
728,6.0
729,0.0
730,0.0
731,0.0
732,1.0
733,3.0
734,13.0
735,13.0
736,24.0
737,8.0
738,0.0
739,9.0
740,0.0
741,10.0
742,18.0
743,14.0
744,5.0
745,2.0
746,1.0
747,0.0
748,11.0
749,17.0
750,1.0
751,13.0
752,0.0
753,4.0
754,0.0
755,2.0
756,5.0
757,4.0
758,1.0
759,17.0
760,0.0
761,0.0
762,25.0
763,0.0
764,4.0
765,0.0
766,2.0
767,7.0
768,5.0
769,1.0
770,0.0
771,22.0
772,0.0
773,2.0
774,4.0
775,8.0
776,2.0
777,2.0
778,10.0
779,0.0
780,24.0
781,2.0
782,8.0
783,33.0
784,4.0
785,2.0
786,5.0
787,4.0
788,7.0
789,4.0
790,28.0
791,14.0
792,20.0
793,11.0
794,1.0
795,0.0
796,1.0
797,0.0
798,10.0
799,15.0
800,0.0
801,11.0
802,24.0
803,16.0
804,23.0
805,2.0
806,19.0
807,19.0
808,0.0
